replay_key,split_bucket,cost_bps,source_table,source_value_column,panel_groupby_columns,panel_value_column,source_value,panel_replay_value,abs_diff,tolerance,replay_status,blocking_reason
six_cell:known_failed_context_any:continued_neutral:cell_step_n,train,25,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,3367.0,3367.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_neutral:continue_return_sum,train,25,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,-131.96594323354418,-131.96594323354418,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_neutral:policy_net_return_sum,train,25,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,-131.96594323354418,-131.96594323354418,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_neutral:incremental_return_sum,train,25,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,0.0,0.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_neutral:drawdown_avoided_abs_sum,train,25,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,0.0,0.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_positive:cell_step_n,train,50,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,1620.0,1620.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_positive:continue_return_sum,train,50,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,231.89819728105437,231.89819728105434,2.842170943040401e-14,1e-09,pass,
six_cell:known_failed_context_any:defended_positive:policy_net_return_sum,train,50,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,-8.099999999999998,-8.099999999999998,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_positive:incremental_return_sum,train,50,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,-239.99819728105436,-239.99819728105433,2.842170943040401e-14,1e-09,pass,
six_cell:known_failed_context_any:defended_positive:drawdown_avoided_abs_sum,train,50,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,48.94982689901802,48.94982689901802,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_negative:cell_step_n,train,50,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,1788.0,1788.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_negative:continue_return_sum,train,50,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,-199.3449131583269,-199.3449131583269,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_negative:policy_net_return_sum,train,50,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,-8.94,-8.94,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_negative:incremental_return_sum,train,50,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,190.4049131583269,190.40491315832693,2.842170943040401e-14,1e-09,pass,
six_cell:known_failed_context_any:defended_negative:drawdown_avoided_abs_sum,train,50,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,298.9454980116274,298.9454980116274,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_neutral:cell_step_n,train,50,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,890.0,890.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_neutral:continue_return_sum,train,50,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,-38.930648781697954,-38.930648781697954,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_neutral:policy_net_return_sum,train,50,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,-4.449999999999999,-4.449999999999999,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_neutral:incremental_return_sum,train,50,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,34.48064878169795,34.48064878169795,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_neutral:drawdown_avoided_abs_sum,train,50,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,59.51316365617448,59.513163656174484,7.105427357601002e-15,1e-09,pass,
six_cell:known_failed_context_any:continued_positive:cell_step_n,train,50,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,5790.0,5790.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_positive:continue_return_sum,train,50,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,577.602710255369,577.602710255369,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_positive:policy_net_return_sum,train,50,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,577.602710255369,577.602710255369,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_positive:incremental_return_sum,train,50,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,0.0,0.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_positive:drawdown_avoided_abs_sum,train,50,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,0.0,0.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_negative:cell_step_n,train,50,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,1999.0,1999.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_negative:continue_return_sum,train,50,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,-207.89566282291628,-207.89566282291628,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_negative:policy_net_return_sum,train,50,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,-207.89566282291628,-207.89566282291628,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_negative:incremental_return_sum,train,50,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,0.0,0.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_negative:drawdown_avoided_abs_sum,train,50,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,0.0,0.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_neutral:cell_step_n,train,50,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,3367.0,3367.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_neutral:continue_return_sum,train,50,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,-131.96594323354418,-131.96594323354418,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_neutral:policy_net_return_sum,train,50,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,-131.96594323354418,-131.96594323354418,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_neutral:incremental_return_sum,train,50,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,0.0,0.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_neutral:drawdown_avoided_abs_sum,train,50,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,0.0,0.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_positive:cell_step_n,train,100,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,1620.0,1620.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_positive:continue_return_sum,train,100,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,231.89819728105437,231.89819728105434,2.842170943040401e-14,1e-09,pass,
six_cell:known_failed_context_any:defended_positive:policy_net_return_sum,train,100,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,-16.199999999999996,-16.199999999999996,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_positive:incremental_return_sum,train,100,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,-248.0981972810544,-248.0981972810544,0.0,1e-09,pass,
