fetched_at_utc,snapshot_date,provider,board_type,board_name,board_code,role,source_api,序号,板块,涨跌幅,总成交量,总成交额,净流入,上涨家数,下跌家数,均价,领涨股,领涨股-最新价,领涨股-涨跌幅
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,1,煤炭开采加工,2.98,1632.45,158.8,14.15,32,2,9.73,昊华能源,12.54,10.0
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,2,银行,2.31,3997.46,286.75,49.09,42,0,7.17,青岛银行,5.55,5.31
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,3,养殖业,1.76,1129.77,119.66,10.08,28,6,10.59,巨星农牧,16.73,9.99
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,4,生物制品,1.41,928.13,212.27,-0.42,41,11,22.87,三元基因,22.34,13.46
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,5,保险,1.21,342.57,114.76,10.97,5,0,33.5,中国平安,50.1,2.06
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,6,医疗服务,1.19,1263.85,389.61,1.86,32,23,30.83,诚达药业,42.65,12.83
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,7,公路铁路运输,1.09,630.58,31.45,1.67,24,8,4.99,四川成渝,5.53,6.14
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,8,机场航运,1.05,786.17,41.01,3.26,11,2,5.22,吉祥航空,10.69,2.59
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,9,港口航运,1.04,1385.56,108.68,6.17,28,7,7.84,招商轮船,17.68,4.0
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,10,化学制药,0.97,4063.3,834.3,17.5,109,48,20.53,首药控股,43.0,14.67
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,11,石油加工贸易,0.91,1170.89,93.48,2.89,14,13,7.98,东方盛虹,13.81,10.04
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,12,医药商业,0.91,497.18,38.24,3.02,23,9,7.69,ST海王,1.64,10.07
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,13,农产品加工,0.77,746.41,55.46,2.89,27,15,7.43,路德科技,32.59,8.96
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,14,农化制品,0.76,1392.89,200.37,0.26,36,22,14.38,六国化工,6.69,10.03
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,15,食品加工制造,0.63,751.32,86.97,1.86,41,22,11.58,ST龙大,1.47,9.7
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,16,饮料制造,0.56,498.96,68.81,3.77,27,16,13.79,皇氏集团,3.27,10.1
2026-07-06T08:00:56Z,2026-07-06,ths,industry,,,current_overview,stock_board_industry_summary_ths,17,白酒,0.5,193.06,127.22,9.61,12,6,65.9,迎驾贡酒,32.7,3.55
