signal_month,first_holding_month,final_holding_month,split,grouping,J,K,skip_mode,signal_eligible_instrument_count,rank_denominator_missing_count,intermediate_month_count,min_valid_intermediate_monthly_closes_required,min_intermediate_month_coverage_share,assigned_loser_leg_count,assigned_winner_leg_count,signal_eligibility_status,holding_label_status,portfolio_month_status,block_reason
2018-05,2018-07,2018-07,train,tertile,1,1,skip1,145,0,0,0,1.0,49,48,complete,complete,complete,
2018-05,2018-07,2018-07,train,quintile,1,1,skip1,145,0,0,0,1.0,29,29,complete,complete,complete,
2018-05,2018-07,2018-07,train,decile,1,1,skip1,145,0,0,0,1.0,15,14,complete,complete,complete,
2018-05,2018-07,2018-12,train,tertile,6,6,skip1,143,2,5,3,0.6,48,47,complete,complete,complete,
2018-05,2018-07,2018-12,train,quintile,6,6,skip1,143,2,5,3,0.6,29,28,complete,complete,complete,
2018-05,2018-07,2018-12,train,decile,6,6,skip1,143,2,5,3,0.6,15,14,complete,complete,complete,
2018-05,2018-07,2019-06,train,tertile,12,12,skip1,139,5,11,6,0.5454545454545454,47,46,complete,complete,complete,
2018-05,2018-07,2019-06,train,quintile,12,12,skip1,139,5,11,6,0.5454545454545454,28,27,complete,complete,complete,
2018-05,2018-07,2019-06,train,decile,12,12,skip1,139,5,11,6,0.5454545454545454,14,13,complete,complete,complete,
2018-06,2018-07,2018-07,train,tertile,1,1,no_skip,134,3,0,0,1.0,45,44,complete,complete,complete,
2018-06,2018-07,2018-07,train,quintile,1,1,no_skip,134,3,0,0,1.0,27,26,complete,complete,complete,
2018-06,2018-07,2018-07,train,decile,1,1,no_skip,134,3,0,0,1.0,14,13,complete,complete,complete,
2018-06,2018-07,2018-12,train,tertile,1,6,no_skip,134,3,0,0,1.0,45,44,complete,complete,complete,
2018-06,2018-07,2018-12,train,quintile,1,6,no_skip,134,3,0,0,1.0,27,26,complete,complete,complete,
2018-06,2018-07,2018-12,train,decile,1,6,no_skip,134,3,0,0,1.0,14,13,complete,complete,complete,
2018-06,2018-07,2019-06,train,tertile,1,12,no_skip,134,3,0,0,1.0,45,44,complete,complete,complete,
2018-06,2018-07,2019-06,train,quintile,1,12,no_skip,134,3,0,0,1.0,27,26,complete,complete,complete,
2018-06,2018-07,2019-06,train,decile,1,12,no_skip,134,3,0,0,1.0,14,13,complete,complete,complete,
2018-06,2018-07,2019-12,train,tertile,1,18,no_skip,134,3,0,0,1.0,45,44,complete,complete,complete,
2018-06,2018-07,2019-12,train,quintile,1,18,no_skip,134,3,0,0,1.0,27,26,complete,complete,complete,
2018-06,2018-07,2019-12,train,decile,1,18,no_skip,134,3,0,0,1.0,14,13,complete,complete,complete,
2018-06,2018-07,2020-06,train,tertile,1,24,no_skip,134,3,0,0,1.0,45,44,complete,complete,complete,
2018-06,2018-07,2020-06,train,quintile,1,24,no_skip,134,3,0,0,1.0,27,26,complete,complete,complete,
2018-06,2018-07,2020-06,train,decile,1,24,no_skip,134,3,0,0,1.0,14,13,complete,complete,complete,
2018-06,2018-07,2020-12,train,tertile,1,30,no_skip,134,3,0,0,1.0,45,44,complete,complete,complete,
2018-06,2018-07,2020-12,train,quintile,1,30,no_skip,134,3,0,0,1.0,27,26,complete,complete,complete,
2018-06,2018-07,2020-12,train,decile,1,30,no_skip,134,3,0,0,1.0,14,13,complete,complete,complete,
2018-06,2018-07,2021-06,train,tertile,1,36,no_skip,134,3,0,0,1.0,45,44,complete,complete,complete,
2018-06,2018-07,2021-06,train,quintile,1,36,no_skip,134,3,0,0,1.0,27,26,complete,complete,complete,
2018-06,2018-07,2021-06,train,decile,1,36,no_skip,134,3,0,0,1.0,14,13,complete,complete,complete,
2018-06,2018-07,2021-12,train,tertile,1,42,no_skip,134,3,0,0,1.0,45,44,complete,complete,complete,
2018-06,2018-07,2021-12,train,quintile,1,42,no_skip,134,3,0,0,1.0,27,26,complete,complete,complete,
2018-06,2018-07,2021-12,train,decile,1,42,no_skip,134,3,0,0,1.0,14,13,complete,complete,complete,
2018-06,2018-07,2022-06,train,tertile,1,48,no_skip,134,3,0,0,1.0,45,44,complete,complete,complete,
2018-06,2018-07,2022-06,train,quintile,1,48,no_skip,134,3,0,0,1.0,27,26,complete,complete,complete,
2018-06,2018-07,2022-06,train,decile,1,48,no_skip,134,3,0,0,1.0,14,13,complete,complete,complete,
2018-06,2018-08,2018-08,train,tertile,1,1,skip1,134,3,0,0,1.0,45,44,complete,complete,complete,
2018-06,2018-08,2018-08,train,quintile,1,1,skip1,134,3,0,0,1.0,27,26,complete,complete,complete,
2018-06,2018-08,2018-08,train,decile,1,1,skip1,134,3,0,0,1.0,14,13,complete,complete,complete,
2018-06,2018-07,2018-07,train,tertile,6,1,no_skip,133,4,5,3,0.6,45,44,complete,complete,complete,
2018-06,2018-07,2018-07,train,quintile,6,1,no_skip,133,4,5,3,0.6,27,26,complete,complete,complete,
2018-06,2018-07,2018-07,train,decile,6,1,no_skip,133,4,5,3,0.6,14,13,complete,complete,complete,
2018-06,2018-07,2018-12,train,tertile,6,6,no_skip,133,4,5,3,0.6,45,44,complete,complete,complete,
2018-06,2018-07,2018-12,train,quintile,6,6,no_skip,133,4,5,3,0.6,27,26,complete,complete,complete,
2018-06,2018-07,2018-12,train,decile,6,6,no_skip,133,4,5,3,0.6,14,13,complete,complete,complete,
2018-06,2018-07,2019-06,train,tertile,6,12,no_skip,133,4,5,3,0.6,45,44,complete,complete,complete,
2018-06,2018-07,2019-06,train,quintile,6,12,no_skip,133,4,5,3,0.6,27,26,complete,complete,complete,
2018-06,2018-07,2019-06,train,decile,6,12,no_skip,133,4,5,3,0.6,14,13,complete,complete,complete,
2018-06,2018-07,2019-12,train,tertile,6,18,no_skip,133,4,5,3,0.6,45,44,complete,complete,complete,
2018-06,2018-07,2019-12,train,quintile,6,18,no_skip,133,4,5,3,0.6,27,26,complete,complete,complete,
2018-06,2018-07,2019-12,train,decile,6,18,no_skip,133,4,5,3,0.6,14,13,complete,complete,complete,
2018-06,2018-07,2020-06,train,tertile,6,24,no_skip,133,4,5,3,0.6,45,44,complete,complete,complete,
2018-06,2018-07,2020-06,train,quintile,6,24,no_skip,133,4,5,3,0.6,27,26,complete,complete,complete,
2018-06,2018-07,2020-06,train,decile,6,24,no_skip,133,4,5,3,0.6,14,13,complete,complete,complete,
2018-06,2018-07,2020-12,train,tertile,6,30,no_skip,133,4,5,3,0.6,45,44,complete,complete,complete,
2018-06,2018-07,2020-12,train,quintile,6,30,no_skip,133,4,5,3,0.6,27,26,complete,complete,complete,
2018-06,2018-07,2020-12,train,decile,6,30,no_skip,133,4,5,3,0.6,14,13,complete,complete,complete,
2018-06,2018-07,2021-06,train,tertile,6,36,no_skip,133,4,5,3,0.6,45,44,complete,complete,complete,
2018-06,2018-07,2021-06,train,quintile,6,36,no_skip,133,4,5,3,0.6,27,26,complete,complete,complete,
2018-06,2018-07,2021-06,train,decile,6,36,no_skip,133,4,5,3,0.6,14,13,complete,complete,complete,
2018-06,2018-07,2021-12,train,tertile,6,42,no_skip,133,4,5,3,0.6,45,44,complete,complete,complete,
2018-06,2018-07,2021-12,train,quintile,6,42,no_skip,133,4,5,3,0.6,27,26,complete,complete,complete,
2018-06,2018-07,2021-12,train,decile,6,42,no_skip,133,4,5,3,0.6,14,13,complete,complete,complete,
2018-06,2018-07,2022-06,train,tertile,6,48,no_skip,133,4,5,3,0.6,45,44,complete,complete,complete,
2018-06,2018-07,2022-06,train,quintile,6,48,no_skip,133,4,5,3,0.6,27,26,complete,complete,complete,
2018-06,2018-07,2022-06,train,decile,6,48,no_skip,133,4,5,3,0.6,14,13,complete,complete,complete,
2018-06,2018-08,2019-01,train,tertile,6,6,skip1,133,4,5,3,0.6,45,44,complete,complete,complete,
2018-06,2018-08,2019-01,train,quintile,6,6,skip1,133,4,5,3,0.6,27,26,complete,complete,complete,
2018-06,2018-08,2019-01,train,decile,6,6,skip1,133,4,5,3,0.6,14,13,complete,complete,complete,
2018-06,2018-07,2018-07,train,tertile,12,1,no_skip,128,8,11,6,0.5454545454545454,43,42,complete,complete,complete,
2018-06,2018-07,2018-07,train,quintile,12,1,no_skip,128,8,11,6,0.5454545454545454,26,25,complete,complete,complete,
2018-06,2018-07,2018-07,train,decile,12,1,no_skip,128,8,11,6,0.5454545454545454,13,12,complete,complete,complete,
2018-06,2018-07,2018-12,train,tertile,12,6,no_skip,128,8,11,6,0.5454545454545454,43,42,complete,complete,complete,
2018-06,2018-07,2018-12,train,quintile,12,6,no_skip,128,8,11,6,0.5454545454545454,26,25,complete,complete,complete,
2018-06,2018-07,2018-12,train,decile,12,6,no_skip,128,8,11,6,0.5454545454545454,13,12,complete,complete,complete,
2018-06,2018-07,2019-06,train,tertile,12,12,no_skip,128,8,11,6,0.5454545454545454,43,42,complete,complete,complete,
2018-06,2018-07,2019-06,train,quintile,12,12,no_skip,128,8,11,6,0.5454545454545454,26,25,complete,complete,complete,
2018-06,2018-07,2019-06,train,decile,12,12,no_skip,128,8,11,6,0.5454545454545454,13,12,complete,complete,complete,
