forbidden_column_family,forbidden_column_pattern,column_name,present_in_matrix,column_present_in_matrix,column_role,marked_model_ready_feature,forbidden_feature_gate,blocking_reason
step_id,step_id,step_id,True,True,row_key,False,pass,
instrument,instrument,instrument,True,True,row_key,False,pass,
episode_cluster_id,episode_cluster_id,episode_cluster_id,True,True,row_key,False,pass,
cluster_split_bucket,cluster_split_bucket,cluster_split_bucket,True,True,split_metadata,False,pass,
step_start_date,step_start_date,step_start_date,True,True,row_key,False,pass,
step_end_date,step_end_date,step_end_date,True,True,row_key,False,pass,
label_class,label_class,label_class,True,True,target,False,pass,
continuation_positive,continuation_positive,continuation_positive,True,True,target,False,pass,
continuation_negative,continuation_negative,continuation_negative,True,True,target,False,pass,
continuation_neutral,continuation_neutral,continuation_neutral,True,True,target,False,pass,
y_payoff_h20,y_payoff_h20,y_payoff_h20,True,True,target,False,pass,
y_signed_max_drawdown_h20,y_signed_max_drawdown_h20,y_signed_max_drawdown_h20,True,True,target,False,pass,
continue_value,continue_value,continue_value,True,True,target,False,pass,
defend_value,defend_value,defend_value,True,True,target,False,pass,
continue_advantage,continue_advantage,continue_advantage,True,True,target,False,pass,
defend_advantage,defend_advantage,defend_advantage,True,True,target,False,pass,
o5_incremental,o5_incremental,o5_incremental,True,True,target,False,pass,
payoff_ordinal_state,payoff_ordinal_state,payoff_ordinal_state,True,True,target,False,pass,
risk_state_dd08,risk_state_dd08,risk_state_dd08,True,True,target,False,pass,
risk_state_dd10,risk_state_dd10,risk_state_dd10,True,True,target,False,pass,
risk_state_dd12,risk_state_dd12,risk_state_dd12,True,True,target,False,pass,
binary_positive_negative,binary_positive_negative,binary_positive_negative,True,True,target,False,pass,
top30_yes_no,top30_yes_no,top30_yes_no,True,True,target,False,pass,
top20_yes_no,top20_yes_no,top20_yes_no,True,True,target,False,pass,
drawdown_dd10_yes_no,drawdown_dd10_yes_no,drawdown_dd10_yes_no,True,True,target,False,pass,
oracle_reference_id,oracle_reference_id,oracle_reference_id,False,False,,False,pass,
oracle_action,oracle_action,oracle_action,False,False,,False,pass,
