arm_id,semantic_track,return_semantics,weighting,bucket_count,holding_month_n,month_scope,month_n,favorable_extreme_mean,middle_mean,unfavorable_extreme_mean,favorable_minus_unfavorable_mean,favorable_minus_middle_mean,spread_positive_month_rate,raw_mean_bucket_spearman,favorable_aligned_mean_bucket_spearman,HAC_t_stat,HAC_p_value,inference_role,paper_sort_direction_gate,positive_exposure_design_gate
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,5,1,early,49,0.00476842910799,0.00143574220408,4.10174231102e-05,0.00472741168488,0.00333268690392,0.612244897959,0.0959183673469,0.0959183673469,0.614290990313,0.539023055159,design_only_not_support,False,False
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,5,1,late,50,0.00449881605333,0.009250902622,0.000503969043494,0.00399484700983,-0.00475208656867,0.54,0.102,0.102,0.454768032486,0.649276130728,design_only_not_support,False,False
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,10,1,early,49,0.00417026702314,0.00142024421605,-5.6164726273e-06,0.00417588349576,0.00275002280708,0.551020408163,0.0550401978973,0.0550401978973,0.491976081579,0.622736252295,design_only_not_support,False,False
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,10,1,late,50,-0.000628389941641,0.00924933760593,-0.00169827457794,0.0010698846363,-0.00987772754757,0.5,0.0671515151515,0.0671515151515,0.0969705906137,0.922749749646,design_only_not_support,False,False
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,VW,5,1,early,49,0.00723636327936,0.000816252816034,-0.00369893007721,0.0109352933566,0.00642011046333,0.591836734694,0.130612244898,0.130612244898,1.26409648132,0.20619539942,design_only_not_support,False,False
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,VW,5,1,late,50,0.00601218199552,0.00697017316655,0.00298097714132,0.0030312048542,-0.000957991171027,0.54,0.092,0.092,0.315499256087,0.752382615799,design_only_not_support,False,False
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,VW,10,1,early,49,0.00709207364647,0.00129476212558,-0.00603795714336,0.0131300307898,0.00579731152089,0.551020408163,0.118367346939,0.118367346939,1.29462064596,0.195451126603,design_only_not_support,False,False
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,VW,10,1,late,50,0.000178100582925,0.00681826476299,-0.000294558725746,0.000472659308671,-0.00664016418007,0.44,0.0712727272727,0.0712727272727,0.040977083886,0.967314164924,design_only_not_support,False,False
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,project_conservative_primary,EW,5,1,early,49,0.00476842910799,0.00144622380455,4.10174231102e-05,0.00472741168488,0.00332220530345,0.612244897959,0.0959183673469,0.0959183673469,0.614290990313,0.539023055159,design_only_not_support,False,False
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,project_conservative_primary,EW,5,1,late,50,0.00449881605333,0.009250902622,0.000503969043494,0.00399484700983,-0.00475208656867,0.54,0.102,0.102,0.454768032486,0.649276130728,design_only_not_support,False,False
