label_id,label_type,vol_reference_id,vol_reference_unit,k_up,k_dn,upper_barrier,lower_barrier,horizon_sessions,same_bar_priority,path_window,formula_status
vol20d_kup1p0_kdn0p75_H20,vol_scaled,volatility_20d,daily_return_std,1.0,0.75,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p0_kdn1p0_H20,vol_scaled,volatility_20d,daily_return_std,1.0,1.0,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p0_kdn1p25_H20,vol_scaled,volatility_20d,daily_return_std,1.0,1.25,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p5_kdn0p75_H20,vol_scaled,volatility_20d,daily_return_std,1.5,0.75,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p5_kdn1p0_H20,vol_scaled,volatility_20d,daily_return_std,1.5,1.0,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p5_kdn1p25_H20,vol_scaled,volatility_20d,daily_return_std,1.5,1.25,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p0_kdn0p75_H20,vol_scaled,volatility_20d,daily_return_std,2.0,0.75,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p0_kdn1p0_H20,vol_scaled,volatility_20d,daily_return_std,2.0,1.0,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p0_kdn1p25_H20,vol_scaled,volatility_20d,daily_return_std,2.0,1.25,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p5_kdn0p75_H20,vol_scaled,volatility_20d,daily_return_std,2.5,0.75,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p5_kdn1p0_H20,vol_scaled,volatility_20d,daily_return_std,2.5,1.0,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p5_kdn1p25_H20,vol_scaled,volatility_20d,daily_return_std,2.5,1.25,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p0_kdn0p75_H40,vol_scaled,volatility_20d,daily_return_std,1.0,0.75,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p0_kdn1p0_H40,vol_scaled,volatility_20d,daily_return_std,1.0,1.0,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p0_kdn1p25_H40,vol_scaled,volatility_20d,daily_return_std,1.0,1.25,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p5_kdn0p75_H40,vol_scaled,volatility_20d,daily_return_std,1.5,0.75,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p5_kdn1p0_H40,vol_scaled,volatility_20d,daily_return_std,1.5,1.0,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p5_kdn1p25_H40,vol_scaled,volatility_20d,daily_return_std,1.5,1.25,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p0_kdn0p75_H40,vol_scaled,volatility_20d,daily_return_std,2.0,0.75,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p0_kdn1p0_H40,vol_scaled,volatility_20d,daily_return_std,2.0,1.0,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p0_kdn1p25_H40,vol_scaled,volatility_20d,daily_return_std,2.0,1.25,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p5_kdn0p75_H40,vol_scaled,volatility_20d,daily_return_std,2.5,0.75,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p5_kdn1p0_H40,vol_scaled,volatility_20d,daily_return_std,2.5,1.0,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p5_kdn1p25_H40,vol_scaled,volatility_20d,daily_return_std,2.5,1.25,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p0_kdn0p75_H60,vol_scaled,volatility_20d,daily_return_std,1.0,0.75,,,60,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p0_kdn1p0_H60,vol_scaled,volatility_20d,daily_return_std,1.0,1.0,,,60,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p0_kdn1p25_H60,vol_scaled,volatility_20d,daily_return_std,1.0,1.25,,,60,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p5_kdn0p75_H60,vol_scaled,volatility_20d,daily_return_std,1.5,0.75,,,60,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p5_kdn1p0_H60,vol_scaled,volatility_20d,daily_return_std,1.5,1.0,,,60,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup1p5_kdn1p25_H60,vol_scaled,volatility_20d,daily_return_std,1.5,1.25,,,60,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p0_kdn0p75_H60,vol_scaled,volatility_20d,daily_return_std,2.0,0.75,,,60,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p0_kdn1p0_H60,vol_scaled,volatility_20d,daily_return_std,2.0,1.0,,,60,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p0_kdn1p25_H60,vol_scaled,volatility_20d,daily_return_std,2.0,1.25,,,60,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p5_kdn0p75_H60,vol_scaled,volatility_20d,daily_return_std,2.5,0.75,,,60,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p5_kdn1p0_H60,vol_scaled,volatility_20d,daily_return_std,2.5,1.0,,,60,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol20d_kup2p5_kdn1p25_H60,vol_scaled,volatility_20d,daily_return_std,2.5,1.25,,,60,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup1p0_kdn0p75_H20,vol_scaled,volatility_60d,daily_return_std,1.0,0.75,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup1p0_kdn1p0_H20,vol_scaled,volatility_60d,daily_return_std,1.0,1.0,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup1p0_kdn1p25_H20,vol_scaled,volatility_60d,daily_return_std,1.0,1.25,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup1p5_kdn0p75_H20,vol_scaled,volatility_60d,daily_return_std,1.5,0.75,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup1p5_kdn1p0_H20,vol_scaled,volatility_60d,daily_return_std,1.5,1.0,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup1p5_kdn1p25_H20,vol_scaled,volatility_60d,daily_return_std,1.5,1.25,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup2p0_kdn0p75_H20,vol_scaled,volatility_60d,daily_return_std,2.0,0.75,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup2p0_kdn1p0_H20,vol_scaled,volatility_60d,daily_return_std,2.0,1.0,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup2p0_kdn1p25_H20,vol_scaled,volatility_60d,daily_return_std,2.0,1.25,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup2p5_kdn0p75_H20,vol_scaled,volatility_60d,daily_return_std,2.5,0.75,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup2p5_kdn1p0_H20,vol_scaled,volatility_60d,daily_return_std,2.5,1.0,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup2p5_kdn1p25_H20,vol_scaled,volatility_60d,daily_return_std,2.5,1.25,,,20,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup1p0_kdn0p75_H40,vol_scaled,volatility_60d,daily_return_std,1.0,0.75,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup1p0_kdn1p0_H40,vol_scaled,volatility_60d,daily_return_std,1.0,1.0,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup1p0_kdn1p25_H40,vol_scaled,volatility_60d,daily_return_std,1.0,1.25,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
vol60d_kup1p5_kdn0p75_H40,vol_scaled,volatility_60d,daily_return_std,1.5,0.75,,,40,lower_first,reference_pos_through_reference_pos_plus_horizon_inclusive,pass
