auc,rank_ic,rank_ic_ci95_low,rank_ic_ci95_high,top_decile_winner_rate,base_winner_rate,top_decile_lift_abs,top_decile_lift_ratio,top_decile_lift_ci95_low,top_decile_lift_ci95_high,bottom_decile_winner_rate,top_minus_bottom_spread,positive_n,denominator_n,horizon_complete_n,horizon_complete_rate,censored_n,censored_rate,rank_evaluable_n,rank_not_evaluable_rate,top_decile_positive_n,raw_separability_status,search_adjusted_status,denominator_id,label_id,feature_id,selected_feature_id,selected_orientation,orientation,feature_time_bucket,label_reference_view,split,label_grid_size,feature_grid_size,effective_search_size,instrument_n,instrument_month_block_n,effective_block_n
0.4939723966509681,-0.0313523542826615,-0.13109434420839425,0.06838963564307127,0.10648148148148148,0.11157601115760112,-0.005094529676119633,0.9543402777777777,-0.10706258491691013,0.09687352556467087,0.09259259259259259,0.013888888888888895,240,2151,2151,1.0,0,0.0,2151,0.0,23,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,has_B4_trigger,rebound_from_20d_low,asc,desc,t0_pit,c0_entry_anchor,validation,75,88,13200,638,2027,2027
0.4955026455026455,-0.016113094204326574,-0.08385987780865214,0.05163368939999899,0.13304721030042918,0.14810045074050227,-0.015053240440073085,0.8983579025937674,-0.09165660730660379,0.061550126426457616,0.15021459227467812,-0.01716738197424894,690,4659,4659,1.0,0,0.0,4659,0.0,62,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,has_B4_trigger,rebound_from_20d_low,asc,desc,t0_pit,c0_entry_anchor,robustness,75,88,13200,733,4115,4115
,,,,,,,,,,,,0,15113,0,,0,,0,1.0,0,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,source_interaction_bucket,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,all,75,88,13200,1310,13493,13493
,,,,,,,,,,,,0,8303,0,,0,,0,1.0,0,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,source_interaction_bucket,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,train,75,88,13200,977,7351,7351
,,,,,,,,,,,,0,2151,0,,0,,0,1.0,0,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,source_interaction_bucket,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,validation,75,88,13200,638,2027,2027
,,,,,,,,,,,,0,4659,0,,0,,0,1.0,0,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,source_interaction_bucket,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,robustness,75,88,13200,733,4115,4115
0.5259045439341947,0.03804649301468823,-0.009436360992200202,0.08552934702157666,0.3266596417281349,0.23467988608796542,0.09197975564016947,1.3919371070671671,0.018783764526218785,0.16517574675412017,0.21707060063224448,0.1095890410958904,2225,9481,9481,1.0,0,0.0,9481,0.0,310,fail,fail,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,freshness_decay_tau_5,freshness_decay_tau_5,asc,asc,t0_pit,c0_entry_anchor,all,75,88,13200,1114,8564,8564
0.5526736029765821,0.08138941504073374,0.014832755393838798,0.1479460746876287,0.40993788819875776,0.273254609488295,0.13668327871046276,1.5002048418009126,0.02906821036480707,0.24429834705611847,0.2422360248447205,0.16770186335403725,1319,4827,4827,1.0,0,0.0,4827,0.0,198,pass,pass,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,freshness_decay_tau_5,freshness_decay_tau_5,asc,asc,t0_pit,c0_entry_anchor,train,75,88,13200,829,4320,4320
0.4733760772448745,-0.034045886983202565,-0.15684924478698972,0.0887574708205846,0.15492957746478872,0.16267605633802817,-0.007746478873239454,0.9523809523809523,-0.15523442449862077,0.13974146675214186,0.176056338028169,-0.02112676056338028,231,1420,1420,1.0,0,0.0,1420,0.0,22,fail,fail,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,freshness_decay_tau_5,freshness_decay_tau_5,asc,asc,t0_pit,c0_entry_anchor,validation,75,88,13200,541,1344,1344
0.49643581838970663,-0.005019110014810736,-0.08634459988490023,0.07630637985527874,0.21296296296296297,0.20871985157699444,0.004243111385968529,1.0203292181069958,-0.10596550772047883,0.11445173049241589,0.2037037037037037,0.009259259259259273,675,3234,3234,1.0,0,0.0,3234,0.0,69,fail,fail,c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,freshness_decay_tau_5,freshness_decay_tau_5,asc,asc,t0_pit,c0_entry_anchor,robustness,75,88,13200,639,2900,2900
