lead_id,lead_name,primary_combo_family,lifecycle_bucket,formula_or_bin,direction,target_horizon,positive_label,baseline_scope,baseline_stock_day_count,stock_day_count,positive_stock_day_count,baseline_stock_day_precision,stock_day_precision,stock_day_lift,lead_future_50pct_precision,lead_future_100pct_240d_precision,unique_instrument_count,unique_instrument_year_count,positive_unique_instrument_count,positive_unique_instrument_year_count,distinct_year_count,distinct_industry_count,top1_industry_contribution,top1_instrument_contribution,top5_instrument_contribution,top1_episode_contribution,top5_episode_contribution,avg_lead_time_to_50pct_high,median_lead_time_to_50pct_high,avg_lead_time_to_50pct_close,avg_lead_time_to_100pct_high,trend_speed_not_fast_rate,repair_signal_rate,label_horizon_truncated_rate,observed_reference_overlap_rate,false_positive_stock_day_count,false_positive_rate,false_positive_avg_future_drawdown_120d,sparse_diagnostic,generalizable_entry_lead,path_explanation_only,diagnostic_only_not_p1_ready,recommended_next_phase,instrument_year_hit_rate,baseline_instrument_year_hit_rate,instrument_year_hit_lift,mean_trigger_count_per_instrument_year,median_trigger_count_per_instrument_year,p95_trigger_count_per_instrument_year,lead_trigger_event_count,positive_lead_trigger_event_count,dedup_trigger_event_precision,baseline_trigger_event_precision,dedup_trigger_event_lift,winner_episode_coverage,winner_episode_covered_count,winner_episode_denominator_count,covered_winner_episode_ids,stock_day_vs_dedup_lift_gap,qualified_lead,failure_reason,lead_type,audit_scope,condition_features
hv_expansion_rs,扩张性高波 + 相对强度,high_volatility_decomposition,early_entry_discovery,expansion_volatility_flag == true and ret20_universe_pctile in top20,true_high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163167,742,182,0.09227356021744593,0.24528301886792453,2.658215617668879,0.24528301886792453,0.13746630727762804,137,195,34,42,7,26,0.15363881401617252,0.12087912087912088,0.41208791208791207,0.038461538461538464,0.17582417582417584,64.93406593406593,60.0,73.34117647058824,129.5581395348837,0.7587601078167115,0.6940700808625337,0.0,0.0,560,0.7547169811320755,-0.23156908175924054,False,True,False,False,p1_hypothesis_refine,0.2153846153846154,0.3871191135734072,0.5563781477913857,3.805128205128205,2.0,11.0,234.0,43.0,0.18376068376068377,0.1002377179080824,1.8332488767271378,0.05858310626702997,43.0,734.0,in_year_episode_SH601155_2017-11-13_2017-12-29;in_year_episode_SZ000002_2017-08-17_2017-11-29;in_year_episode_SZ000063_2017-08-14_2017-11-22;in_year_episode_SZ002475_2017-07-04_2017-11-22;in_year_episode_SH600332_2018-04-23_2018-05-29;in_year_episode_SZ000063_2018-07-11_2018-11-16;in_year_episode_SZ000938_2018-02-07_2018-04-03;in_year_episode_SZ002304_2018-03-29_2018-06-13;in_year_episode_SH600030_2019-01-11_2019-03-07;in_year_episode_SH600276_2019-01-04_2019-11-20;in_year_episode_SH600309_2019-01-04_2019-12-31;in_year_episode_SH600745_2019-11-04_2019-12-18;in_year_episode_SH601012_2019-01-04_2019-09-02;in_year_episode_SH603501_2019-08-30_2019-12-25;in_year_episode_SZ000333_2019-01-04_2019-11-08;in_year_episode_SZ000651_2019-01-04_2019-12-18;in_year_episode_SZ000661_2019-05-10_2019-11-15;in_year_episode_SZ000725_2019-01-04_2019-12-26;in_year_episode_SZ000895_2019-08-07_2019-11-11;in_year_episode_SZ000938_2019-02-13_2019-08-19,0.8249667409417412,False,instrument_year_lift_not_positive,p0_5_diagnostic_combo,main,expansion_volatility_flag;ret20_universe_pctile
hv_expansion_money,扩张性高波 + 成交质量,high_volatility_decomposition,early_entry_discovery,expansion volatility with upper close and money quality,true_high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,161201,589,134,0.09134558718618371,0.22750424448217318,2.49058823190294,0.22750424448217318,0.13242784380305603,130,195,35,42,7,26,0.17147707979626486,0.08955223880597014,0.3656716417910448,0.04477611940298507,0.1791044776119403,67.31343283582089,64.5,74.74418604651163,126.05633802816901,0.8030560271646859,0.7130730050933786,0.0,0.0,455,0.7724957555178268,-0.24289437901275032,False,True,False,False,p1_hypothesis_refine,0.2153846153846154,0.38349514563106796,0.5616358325219085,3.0205128205128204,2.0,8.299999999999983,242.0,44.0,0.18181818181818182,0.09921984396879376,1.8324780058651027,0.051771117166212535,38.0,734.0,in_year_episode_SH601155_2017-11-13_2017-12-29;in_year_episode_SZ000002_2017-08-17_2017-11-29;in_year_episode_SZ002475_2017-07-04_2017-11-22;in_year_episode_SH600332_2018-04-23_2018-05-29;in_year_episode_SZ000063_2018-07-11_2018-11-16;in_year_episode_SH600030_2019-01-11_2019-03-07;in_year_episode_SH600309_2019-01-04_2019-12-31;in_year_episode_SH600745_2019-11-04_2019-12-18;in_year_episode_SH601012_2019-01-04_2019-09-02;in_year_episode_SH603501_2019-08-30_2019-12-25;in_year_episode_SZ000333_2019-01-04_2019-11-08;in_year_episode_SZ000708_2019-10-23_2019-12-13;in_year_episode_SZ000895_2019-08-07_2019-11-11;in_year_episode_SZ000938_2019-02-13_2019-08-19;in_year_episode_SZ002027_2019-01-03_2019-04-09;in_year_episode_SZ002475_2019-01-04_2019-12-17;in_year_episode_SZ002607_2019-02-01_2019-11-22;in_year_episode_SH600438_2020-03-24_2020-12-28;in_year_episode_SH600690_2020-03-23_2020-11-23;in_year_episode_SH600893_2020-01-02_2020-12-31,0.6581102260378375,False,instrument_year_lift_not_positive,p0_5_diagnostic_combo,main,expansion_volatility_flag;money_close_location_score
hv_upper_close_industry_improve,高波上半区 + 行业宽度改善,high_volatility_decomposition,early_entry_discovery,high volatility with improving industry breadth,true_high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,162931,1027,206,0.09203896127808704,0.2005842259006816,2.179340391452651,0.2005842259006816,0.12074001947419669,154,254,52,63,7,27,0.15774099318403115,0.0825242718446602,0.30097087378640774,0.02912621359223301,0.13592233009708737,68.50485436893204,68.5,74.88541666666667,131.39175257731958,0.8821811100292113,0.8023369036027264,0.0,0.0,821,0.7994157740993184,-0.2238411922942629,False,True,False,False,p1_hypothesis_refine,0.24803149606299213,0.38626907073509015,0.6421210364862382,4.043307086614173,3.0,11.0,341.0,60.0,0.17595307917888564,0.09988097599682602,1.761627551421574,0.07356948228882834,54.0,734.0,in_year_episode_SH601155_2017-11-13_2017-12-29;in_year_episode_SZ000002_2017-08-17_2017-11-29;in_year_episode_SZ002475_2017-07-04_2017-11-22;in_year_episode_SH600332_2018-04-23_2018-05-29;in_year_episode_SH601155_2018-01-03_2018-01-29;in_year_episode_SZ000063_2018-07-11_2018-11-16;in_year_episode_SZ000938_2018-02-07_2018-04-03;in_year_episode_SZ002304_2018-03-29_2018-06-13;in_year_episode_SH600030_2019-01-11_2019-03-07;in_year_episode_SH600276_2019-01-04_2019-11-20;in_year_episode_SH600309_2019-01-04_2019-12-31;in_year_episode_SH600383_2019-02-12_2019-12-31;in_year_episode_SH600745_2019-11-04_2019-12-18;in_year_episode_SH601012_2019-01-04_2019-09-02;in_year_episode_SH603501_2019-08-30_2019-12-25;in_year_episode_SZ000661_2019-05-10_2019-11-15;in_year_episode_SZ000725_2019-01-04_2019-12-26;in_year_episode_SZ000895_2019-08-07_2019-11-11;in_year_episode_SZ000938_2019-02-13_2019-08-19;in_year_episode_SZ002120_2019-01-02_2019-08-28,0.417712840031077,False,instrument_year_lift_not_positive,p0_5_diagnostic_combo,main,high_vol_industry_width_improving;close_location_in_day
hv_drawdown_control_rs,高波 + 回撤受控 + 排名强,high_volatility_decomposition,early_entry_discovery,"high volatility, controlled drawdown, strong rank",true_high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163146,808,189,0.09228543758351415,0.23391089108910892,2.5346457384181567,0.23391089108910892,0.1547029702970297,112,140,30,31,7,24,0.14356435643564355,0.15343915343915343,0.47619047619047616,0.08465608465608465,0.2857142857142857,67.87830687830687,61.0,74.85875706214689,116.05154639175258,0.7660891089108911,0.7846534653465347,0.0,0.0,619,0.7660891089108911,-0.21091842109605743,False,True,False,False,p1_hypothesis_refine,0.22142857142857142,0.3871191135734072,0.5719907998977766,5.771428571428571,4.0,17.049999999999983,155.0,31.0,0.2,0.10024764735017336,1.9950592885375493,0.039509536784741145,29.0,734.0,in_year_episode_SZ000002_2017-08-17_2017-11-29;in_year_episode_SZ000063_2017-08-14_2017-11-22;in_year_episode_SH600332_2018-04-23_2018-05-29;in_year_episode_SZ000063_2018-07-11_2018-11-16;in_year_episode_SH600309_2019-01-04_2019-12-31;in_year_episode_SH600745_2019-11-04_2019-12-18;in_year_episode_SH603501_2019-08-30_2019-12-25;in_year_episode_SZ000333_2019-01-04_2019-11-08;in_year_episode_SZ000661_2019-05-10_2019-11-15;in_year_episode_SZ000708_2019-10-23_2019-12-13;in_year_episode_SZ000938_2019-02-13_2019-08-19;in_year_episode_SZ002120_2019-01-02_2019-08-28;in_year_episode_SZ002607_2019-02-01_2019-11-22;in_year_episode_SH600196_2020-02-03_2020-08-06;in_year_episode_SH600690_2020-03-23_2020-11-23;in_year_episode_SH600809_2020-02-04_2020-12-31;in_year_episode_SH600893_2020-01-02_2020-12-31;in_year_episode_SH601633_2020-02-04_2020-12-31;in_year_episode_SZ002032_2020-03-23_2020-07-24;in_year_episode_SZ002311_2020-02-03_2020-09-03,0.5395864498806073,False,instrument_year_lift_not_positive,p0_5_diagnostic_combo,main,high_vol_drawdown_controlled;ret20_universe_pctile
hv_atr_above_median,高ATR但守住中位价,high_volatility_decomposition,early_entry_discovery,high ATR above median20 with rank jump,true_high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163167,1223,205,0.09227356021744593,0.16762060506950122,1.8165615878968722,0.16762060506950122,0.10466067048242028,144,246,46,58,7,27,0.15944399018806213,0.06829268292682927,0.2975609756097561,0.04390243902439024,0.16585365853658537,60.917073170731705,56.0,67.88601036269431,125.58333333333333,0.9959116925592805,0.9002452984464432,0.0,0.0,1018,0.8323793949304987,-0.22417870825157704,False,True,False,False,p1_hypothesis_refine,0.23577235772357724,0.3871191135734072,0.6090434428494553,4.971544715447155,4.0,13.75,344.0,59.0,0.17151162790697674,0.1002377179080824,1.7110488096332384,0.08719346049046321,64.0,734.0,in_year_episode_SZ000002_2017-08-17_2017-11-29;in_year_episode_SZ000063_2018-07-11_2018-11-16;in_year_episode_SZ002120_2018-02-13_2018-06-07;in_year_episode_SH600276_2019-01-04_2019-11-20;in_year_episode_SH600309_2019-01-04_2019-12-31;in_year_episode_SH600741_2019-01-04_2019-11-28;in_year_episode_SH601012_2019-01-04_2019-09-02;in_year_episode_SH601066_2019-01-02_2019-12-27;in_year_episode_SH603501_2019-08-30_2019-12-25;in_year_episode_SZ000333_2019-01-04_2019-11-08;in_year_episode_SZ000661_2019-05-10_2019-11-15;in_year_episode_SZ000938_2019-02-13_2019-08-19;in_year_episode_SZ002027_2019-01-03_2019-04-09;in_year_episode_SZ002475_2019-01-04_2019-12-17;in_year_episode_SZ002607_2019-02-01_2019-11-22;in_year_episode_SH600309_2020-03-23_2020-11-23;in_year_episode_SH600438_2020-03-24_2020-12-28;in_year_episode_SH600893_2020-01-02_2020-12-31;in_year_episode_SH601888_2020-03-30_2020-12-31;in_year_episode_SH603259_2020-03-19_2020-12-31,0.10551277826363381,False,instrument_year_lift_not_positive,p0_5_diagnostic_combo,main,high_atr_above_median20;ret_rank_jump5_20
hv_reversal_lower_shadow,高波反转下影,high_volatility_decomposition,early_entry_discovery,reversal volatility with money support,true_high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,161280,913,128,0.09140625,0.140197152245345,1.5337808108892448,0.140197152245345,0.07776560788608981,228,498,75,91,7,27,0.12814895947426067,0.046875,0.1953125,0.0234375,0.0859375,70.3828125,70.5,74.64957264957265,136.21153846153845,0.9748083242059146,0.7447973713033954,0.0,0.0,785,0.859802847754655,-0.18497354482601713,False,True,False,False,p1_hypothesis_refine,0.1827309236947791,0.3841886269070735,0.47562814434633843,1.8333333333333333,1.0,4.0,706.0,90.0,0.1274787535410765,0.09921984396879376,1.2848110664351642,0.08446866485013624,62.0,734.0,in_year_episode_SZ000002_2017-08-17_2017-11-29;in_year_episode_SZ002475_2017-07-04_2017-11-22;in_year_episode_SH600332_2018-04-23_2018-05-29;in_year_episode_SZ000063_2018-07-11_2018-11-16;in_year_episode_SH600048_2019-01-15_2019-12-31;in_year_episode_SH600600_2019-01-29_2019-11-14;in_year_episode_SH600690_2019-01-04_2019-12-26;in_year_episode_SH601012_2019-01-04_2019-09-02;in_year_episode_SH603501_2019-08-30_2019-12-25;in_year_episode_SZ000333_2019-01-04_2019-11-08;in_year_episode_SZ000651_2019-01-04_2019-12-18;in_year_episode_SZ000661_2019-05-10_2019-11-15;in_year_episode_SZ000708_2019-10-23_2019-12-13;in_year_episode_SZ000895_2019-08-07_2019-11-11;in_year_episode_SZ000938_2019-02-13_2019-08-19;in_year_episode_SZ002475_2019-01-04_2019-12-17;in_year_episode_SH600104_2020-03-23_2020-11-06;in_year_episode_SH600196_2020-02-03_2020-08-06;in_year_episode_SH600406_2020-02-03_2020-12-28;in_year_episode_SH600519_2020-03-19_2020-12-31,0.2489697444540806,False,instrument_year_lift_not_positive,p0_5_diagnostic_combo,main,reversal_volatility_flag;money_ratio20
hv_failed_destructive,破坏性高波对照,high_volatility_decomposition,early_entry_discovery,destructive and failed high volatility,true_low,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163167,2945,556,0.09227356021744593,0.18879456706281833,2.0460310257663976,0.18879456706281833,0.10220713073005093,198,405,90,132,8,28,0.1572156196943973,0.09172661870503597,0.24640287769784172,0.025179856115107913,0.10431654676258993,66.67625899280576,66.0,71.18320610687023,114.85281385281385,1.0,0.7246179966044143,0.0,0.0,2389,0.8112054329371816,-0.20548623036859165,False,True,False,True,drop_or_false_positive_audit,0.32592592592592595,0.3871191135734072,0.8419267209964885,7.271604938271605,5.0,23.0,570.0,91.0,0.15964912280701754,0.1002377179080824,1.592705082865266,0.07493188010899182,55.0,734.0,in_year_episode_SZ000002_2017-08-17_2017-11-29;in_year_episode_SH603993_2018-02-09_2018-03-19;in_year_episode_SZ000063_2018-07-11_2018-11-16;in_year_episode_SZ002304_2018-03-29_2018-06-13;in_year_episode_SH600383_2019-02-12_2019-12-31;in_year_episode_SH600741_2019-01-04_2019-11-28;in_year_episode_SH601066_2019-01-02_2019-12-27;in_year_episode_SH603501_2019-08-30_2019-12-25;in_year_episode_SZ000725_2019-01-04_2019-12-26;in_year_episode_SZ000938_2019-02-13_2019-08-19;in_year_episode_SZ002475_2019-01-04_2019-12-17;in_year_episode_SZ002607_2019-02-01_2019-11-22;in_year_episode_SZ002714_2019-01-02_2019-10-28;in_year_episode_SH600031_2020-02-04_2020-12-31;in_year_episode_SH600061_2020-02-04_2020-07-10;in_year_episode_SH600383_2020-02-04_2020-07-06;in_year_episode_SH600406_2020-02-03_2020-12-28;in_year_episode_SH600570_2020-01-02_2020-07-09;in_year_episode_SH600809_2020-02-04_2020-12-31;in_year_episode_SH600893_2020-01-02_2020-12-31,0.4533259429011316,False,instrument_year_lift_not_positive,p0_5_diagnostic_combo,main,destructive_volatility_flag;failed_high_volatility_flag
hv_break_structure,高ATR跌破结构对照,high_volatility_decomposition,early_entry_discovery,high ATR breaks short structure,true_low,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163062,0,0,0.09222259018042217,,0.0,,,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,False,True,False,True,drop_or_false_positive_audit,,0.3864265927977839,0.0,,,,0.0,0.0,,0.10026751213712475,0.0,0.0,0.0,734.0,,0.0,False,insufficient_stock_day_count,p0_5_diagnostic_combo,main,high_atr_break_short_structure;close_location_in_day
hv_late_acceleration,后段加速高波,high_volatility_decomposition,hold_exit_tolerance,late acceleration volatility and fast trend,true_high,120d,future_50pct_high_120d,same_horizon_hold_exit_tolerance_eligible_pit_stock_days,113993,581,254,0.187081662909126,0.43717728055077454,2.3368259280607915,0.43717728055077454,0.30120481927710846,56,73,31,37,5,16,0.20137693631669534,0.1377952755905512,0.4409448818897638,0.051181102362204724,0.16141732283464566,62.7992125984252,64.0,69.02892561983471,130.20394736842104,0.0,0.7383820998278829,0.0,0.0,327,0.5628227194492255,-0.30444627741383934,False,True,False,True,p1_hold_exit_refine,0.5068493150684932,0.3720030935808198,1.362486828240253,7.958904109589041,6.0,20.199999999999974,74.0,33.0,0.44594594594594594,0.19069148936170213,2.338572882505937,0.055858310626702996,41.0,734.0,in_year_episode_SH600183_2019-08-12_2019-09-23;in_year_episode_SZ000858_2019-01-04_2019-08-30;in_year_episode_SZ000876_2019-03-14_2019-10-31;in_year_episode_SZ002475_2019-01-04_2019-12-17;in_year_episode_SZ002714_2019-01-02_2019-10-28;in_year_episode_SH600346_2020-03-30_2020-12-28;in_year_episode_SH600438_2020-03-24_2020-12-28;in_year_episode_SH600588_2020-01-02_2020-07-09;in_year_episode_SH600660_2020-03-25_2020-12-29;in_year_episode_SH600703_2020-01-08_2020-02-25;in_year_episode_SH600763_2020-07-20_2020-12-30;in_year_episode_SH600809_2020-02-04_2020-12-31;in_year_episode_SH601012_2020-03-24_2020-12-28;in_year_episode_SH601100_2020-02-27_2020-12-31;in_year_episode_SH601633_2020-02-04_2020-12-31;in_year_episode_SH601919_2020-03-31_2020-12-30;in_year_episode_SH603369_2020-07-01_2020-12-23;in_year_episode_SZ000568_2020-03-19_2020-12-31;in_year_episode_SZ000596_2020-03-23_2020-12-28;in_year_episode_SZ002007_2020-02-03_2020-08-04,-0.0017469544451453878,False,diagnostic_only_not_p1_ready,p0_5_diagnostic_combo,main,late_acceleration_volatility_flag;trend_speed_bucket
hv_high_money_control,高波 + 放量 + 上半区,high_volatility_decomposition,confirmation_continuation,high volatility with money quality and benchmark relative strength,true_high,120d,future_50pct_high_120d,same_horizon_confirmation_continuation_eligible_pit_stock_days,165295,5067,1193,0.1423576030732932,0.23544503651075588,1.6538985725232838,0.23544503651075588,0.13282020919676338,254,748,141,224,8,28,0.137951450562463,0.03352891869237217,0.14333612740989102,0.006705783738474434,0.024308466051969825,60.17267393126572,58.0,67.17213842058563,117.50179211469533,0.5968028419182948,0.678310637458062,0.0,0.0,3874,0.7645549634892441,-0.2459068380173188,False,True,False,False,p1_confirmation_refine,0.2994652406417112,0.38415841584158417,0.779535806825073,6.774064171122995,5.0,19.0,1259.0,306.0,0.24305003971405878,0.14594498035012504,1.6653538828877614,0.5435967302452316,399.0,734.0,in_year_episode_SH600029_2017-08-07_2017-12-26;in_year_episode_SH600111_2017-07-13_2017-08-10;in_year_episode_SH600196_2017-07-18_2017-12-25;in_year_episode_SH600309_2017-07-05_2017-10-10;in_year_episode_SH600690_2017-08-07_2017-11-21;in_year_episode_SH600703_2017-07-13_2017-11-13;in_year_episode_SH600887_2017-07-10_2017-12-22;in_year_episode_SH601012_2017-09-11_2017-11-22;in_year_episode_SH601155_2017-11-13_2017-12-29;in_year_episode_SH601336_2017-07-04_2017-11-22;in_year_episode_SH601600_2017-07-04_2017-09-01;in_year_episode_SH601601_2017-07-04_2017-11-20;in_year_episode_SH601933_2017-07-27_2017-12-20;in_year_episode_SH603993_2017-07-04_2017-09-12;in_year_episode_SZ000001_2017-07-05_2017-11-22;in_year_episode_SZ000002_2017-08-17_2017-11-29;in_year_episode_SZ000063_2017-08-14_2017-11-22;in_year_episode_SZ000333_2017-08-07_2017-12-25;in_year_episode_SZ000568_2017-07-17_2017-11-16;in_year_episode_SZ000725_2017-08-10_2017-11-08,-0.011455310364477667,False,instrument_year_lift_not_positive,p0_5_diagnostic_combo,main,high_vol_money_quality_flag;relative_ret20_vs_benchmark
