fetched_at_utc,snapshot_date,provider,board_type,board_name,board_code,role,source_api,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,其他运输设备,BK1522,current_membership,stock_board_industry_cons_em,1,301322,绿通科技,49.47,0.34,0.17,33864,168911988.75,7.04,51.5,48.03,49.7,49.3,3.52,-628.09,2.49
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,其他运输设备,BK1522,current_membership,stock_board_industry_cons_em,2,603529,爱玛科技,20.05,0.2,0.04,39879,79757535.0,1.65,20.14,19.81,20.02,20.01,0.47,22.18,1.85
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,其他运输设备,BK1522,current_membership,stock_board_industry_cons_em,3,900916,凤凰B股,0.384,0.0,0.0,775,29804.0,0.78,0.387,0.384,0.387,0.384,0.05,27.2,0.62
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,其他运输设备,BK1522,current_membership,stock_board_industry_cons_em,4,900915,ST中路B,0.203,-0.98,-0.002,723,14722.0,1.95,0.206,0.202,0.205,0.205,0.09,-6.2,0.9
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,其他运输设备,BK1522,current_membership,stock_board_industry_cons_em,5,600099,林海股份,8.52,-1.05,-0.09,35057,29885113.0,4.07,8.74,8.39,8.56,8.61,1.6,112.14,3.45
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,其他运输设备,BK1522,current_membership,stock_board_industry_cons_em,6,002105,信隆健康,5.15,-1.15,-0.06,73576,38455681.44,4.03,5.35,5.14,5.19,5.21,2.02,-242.57,2.36
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,其他运输设备,BK1522,current_membership,stock_board_industry_cons_em,7,600679,上海凤凰,9.06,-1.52,-0.14,16771,15269221.0,2.39,9.24,9.02,9.16,9.2,0.49,92.75,2.11
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,其他运输设备,BK1522,current_membership,stock_board_industry_cons_em,8,300994,久祺股份,10.96,-1.53,-0.17,19085,21100576.04,4.13,11.39,10.93,11.2,11.13,1.64,37.42,2.32
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,其他运输设备,BK1522,current_membership,stock_board_industry_cons_em,9,689009,九号公司-WD,38.18,-3.17,-1.25,164698,642414207.0,7.43,40.53,37.6,39.68,39.43,2.93,34.32,3.67
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,其他运输设备,BK1522,current_membership,stock_board_industry_cons_em,10,600818,ST中路,5.81,-3.97,-0.24,96687,59052818.0,9.42,6.36,5.79,6.03,6.05,4.06,-25.66,3.74
