instrument,signal_date,order_date,deal_date,entry_type,amount,entry_price,entry_value,entry_cost,exit_signal_date,exit_date,exit_price,exit_value,exit_cost,gross_pnl,net_pnl,initial_stop,current_stop,R,exit_reason,holding_days,cost_before_return,cost_after_return
SH603986,2025-03-06,2025-03-07,2025-03-07,pullback,300,135.9600067138672,40788.002014160156,20.394001007080078,2025-03-17,2025-03-18,128.4199981689453,38525.999450683594,57.78899917602539,-2262.0025634765625,-2340.1855636596665,120.23175354003907,120.23175354003907,15.728253173828122,time_stop,11,-0.05545754760655535,-0.057345688440925024
SZ000988,2025-03-06,2025-03-07,2025-03-07,pullback,1000,44.349998474121094,44349.998474121094,22.174999237060547,2025-03-17,2025-03-18,45.290000915527344,45290.000915527344,67.93500137329102,940.00244140625,849.8924407958984,40.89574851989746,40.89574851989746,3.4542499542236342,time_stop,11,0.021195095236694446,0.01915372573097392
SZ000425,2025-03-14,2025-03-17,2025-03-17,pullback,5200,9.0600004196167,47112.002182006836,23.55600109100342,2025-03-17,2025-03-18,8.819999694824219,45863.99841308594,68.7959976196289,-1248.0037689208984,-1340.3557676315309,8.795249545574189,8.795249545574189,0.26475087404251063,stop_loss,1,-0.026490144997436342,-0.02843619168409814
SZ000933,2025-03-17,2025-03-18,2025-03-18,pullback,2400,19.18000030517578,46032.000732421875,23.01600036621094,2025-03-19,2025-03-20,18.84000015258789,45216.00036621094,67.82400054931641,-816.0003662109375,-906.840367126462,18.67800054550171,18.67800054550171,0.5019997596740708,stop_loss,2,-0.017726806422215777,-0.01969037102706886
SZ000807,2025-03-18,2025-03-19,2025-03-19,pullback,2700,17.360000610351562,46872.00164794922,23.43600082397461,2025-03-21,2025-03-24,16.950000762939453,45765.00205993652,68.64750308990479,-1106.9995880126953,-1199.0830919265718,17.043500328063963,17.043500328063963,0.3165002822875991,stop_loss,5,-0.023617501900756347,-0.02556929100240395
SZ000157,2025-03-18,2025-03-19,2025-03-19,pullback,6200,7.619999885559082,47243.99929046631,23.621999645233156,2025-03-25,2025-03-26,7.320000171661377,45384.00106430054,68.07600159645081,-1859.9982261657715,-1951.6962274074526,7.378000009059906,7.378000009059906,0.2419998764991762,stop_loss,7,-0.03937004178520326,-0.041290341551749515
SH603986,2025-03-19,2025-03-20,2025-03-20,pullback,300,129.94000244140625,38982.000732421875,19.491000366210937,2025-03-25,2025-03-26,118.97000122070312,35691.00036621094,53.53650054931641,-3291.0003662109375,-3364.027867126463,119.31100177764893,119.31100177764893,10.629000663757324,stop_loss,6,-0.08442358792204749,-0.0862538256273507
SH600031,2025-03-19,2025-03-20,2025-03-20,pullback,2400,19.6299991607666,47111.997985839844,23.55599899291992,2025-03-26,2025-03-27,18.56999969482422,44567.999267578125,66.85199890136718,-2543.9987182617188,-2634.406716156004,18.81625008583069,18.81625008583069,0.8137490749359131,stop_loss,7,-0.05399895625369895,-0.055890012812911914
SZ000425,2025-03-20,2025-03-21,2025-03-21,pullback,5300,8.760000228881836,46428.00121307373,23.214000606536867,2025-03-26,2025-03-27,8.460000038146973,44838.000202178955,67.25700030326843,-1590.0010108947754,-1680.4720118045793,8.571000027656556,8.571000027656556,0.18900020122528005,stop_loss,6,-0.034246596221054734,-0.036177137757844195
SZ000338,2025-03-14,2025-03-17,2025-03-17,pullback,3000,15.380000114440918,46140.000343322754,23.070000171661377,2025-03-27,2025-03-28,15.229999542236328,45689.998626708984,68.53499794006348,-450.00171661376953,-541.6067147254944,14.858750200271606,14.858750200271606,0.5212499141693119,time_stop,11,-0.009752963009652263,-0.01173246733147205
SH600019,2025-03-17,2025-03-18,2025-03-18,pullback,6500,7.260000228881836,47190.00148773193,23.595000743865967,2025-03-28,2025-03-31,7.070000171661377,45955.00111579895,68.93250167369843,-1235.0003719329834,-1327.5278743505478,6.9777498960495,6.9777498960495,0.28225033283233625,time_stop,13,-0.02617080595460563,-0.028117491000173633
SZ002179,2025-03-20,2025-03-21,2025-03-21,pullback,1100,41.209999084472656,45330.99899291992,22.66549949645996,2025-03-31,2025-04-01,40.439998626708984,44483.99848937988,66.72599773406982,-847.0005035400391,-936.3920007705717,40.209748363494874,40.209748363494874,1.0002507209777818,stop_loss,11,-0.0186847967694762,-0.020646446351146475
SZ002311,2025-06-09,2025-06-10,2025-06-10,pullback,700,60.11000061035156,42077.000427246094,21.03850021362305,2025-06-17,2025-06-18,57.209999084472656,40046.99935913086,60.07049903869629,-2030.0010681152344,-2111.1100673675523,57.46449947357178,57.46449947357178,2.645501136779785,stop_loss,8,-0.04824490927354102,-0.0501474681755429
SZ000963,2025-06-09,2025-06-10,2025-06-10,pullback,1000,43.93000030517578,43930.00030517578,21.96500015258789,2025-06-18,2025-06-19,41.15999984741211,41159.99984741211,61.739999771118164,-2770.000457763672,-2853.705457687378,41.545751094818115,41.545751094818115,2.384249210357666,stop_loss,9,-0.06305486998681659,-0.06492782376995139
SH600988,2025-06-11,2025-06-12,2025-06-12,pullback,1700,27.1299991607666,46120.99857330322,23.060499286651613,2025-06-23,2025-06-24,26.399999618530273,44879.999351501465,67.3199990272522,-1240.9992218017578,-1331.3797201156644,25.60650029182434,25.60650029182434,1.5234988689422622,time_stop,12,-0.02690746645108635,-0.028852678911953804
SZ000657,2025-06-18,2025-06-19,2025-06-19,pullback,3900,11.869999885559082,46292.99955368042,23.146499776840212,2025-06-30,2025-07-01,11.829999923706055,46136.99970245361,69.20549955368043,-155.99985122680664,-248.35185055732873,11.301500344276429,11.301500344276429,0.5684995412826535,time_stop,12,-0.0033698367513626416,-0.0053621009457627475
SH601009,2025-06-25,2025-06-26,2025-06-26,breakout,4000,11.5600004196167,46240.0016784668,23.1200008392334,2025-07-08,2025-07-09,11.489999771118164,45959.999084472656,68.93999862670898,-280.0025939941406,-372.062593460083,10.121999764442444,10.121999764442444,1.438000655174255,time_stop,13,-0.006055419200482711,-0.008042314914224875
SH600160,2025-06-30,2025-07-01,2025-07-01,breakout,1600,28.510000228881836,45616.00036621094,22.80800018310547,2025-07-10,2025-07-11,26.690000534057617,42704.00085449219,64.05600128173828,-2911.99951171875,-2998.863513183592,25.430499458312987,25.430499458312987,3.079500770568849,ema60_exit,10,-0.06383723887102892,-0.06570862869837316
SH601998,2025-06-26,2025-06-27,2025-06-27,pullback,5600,8.359999656677246,46815.99807739258,23.40799903869629,2025-07-11,2025-07-14,8.34000015258789,46704.00085449219,70.05600128173829,-111.99722290039062,-205.46122322082374,8.030000102519988,8.030000102519988,0.3299995541572578,time_stop,17,-0.0023922852763973014,-0.004386503596684332
SH601838,2025-07-01,2025-07-02,2025-07-02,pullback,2400,19.450000762939453,46680.00183105469,23.340000915527344,2025-07-14,2025-07-15,19.520000457763672,46848.00109863281,70.27200164794922,167.999267578125,74.38726501464699,18.800249814987183,18.800249814987183,0.6497509479522705,time_stop,13,0.003598955890922021,0.0015927610765473332
SH600919,2025-07-01,2025-07-02,2025-07-02,pullback,4000,11.5600004196167,46240.0016784668,23.1200008392334,2025-07-15,2025-07-16,11.4399995803833,45759.9983215332,68.6399974822998,-480.00335693359375,-571.763355255127,11.113249516487121,11.113249516487121,0.446750903129578,time_stop,14,-0.010380695058606008,-0.012358944543746225
