feature_name,source_artifact,source_hash,as_of_policy,source_kind,feature_join_key,feature_as_of_date_policy,max_feature_as_of_date_minus_event_t0_date,uses_future_information,allowed_as_t0_feature,missing_rate_train,missing_rate_validation,missing_rate_robustness,blocked_reason
return_5d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
return_10d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
return_20d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
return_60d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
stock_vs_market_5d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
stock_vs_market_10d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
stock_vs_market_20d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
amount_ratio_20d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
amount_ratio_60d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
turnover_ratio_20d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
turnover_ratio_60d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
close_to_high_60,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
close_to_high_120,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
range_width_ratio_20d_60d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
direction_entropy_20d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
relative_cusum_20d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
momentum_percentile_20d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
momentum_percentile_20d_lag20,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.06699659181100892,0.02780603594438793,0.025131547946281318,
universe_up_share,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.0,0.0,0.0,
universe_up_share_z,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.024464260703114058,0.0,0.0,
universe_up_share_change_5d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.007143190625145898,0.0,0.0,
stock_vs_board_20d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,0.023950697978430364,0.0,0.0,
