row_surface_name,row_surface_path,target_industry,task,fold_id,feature_bank_version,probe_contract_id,row_count,distinct_instruments,row_identity_key_set,row_identity_key_status,schema_key_missing_keys,schema_key_missing_count,row_identity_duplicate_count,row_identity_mismatch_count,feature_asof_date_column,label_measurement_date_column,event_effective_date_column,decision_reference_date_column,feature_asof_leakage_violation_count,observed_reference_decision_overlap_count,observed_reference_feature_overlap_count,observed_reference_label_measurement_overlap_count,walk_forward_purge_violation_count,fold_2024_used_for_support,data_discipline_pass,pass
v2_hygiene_train_eval_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_v2_hygiene_train_eval_panel.parquet,电子,industry_launch_winner_score_lgbm,fold_2022,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,1472,25,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id,complete,,0,0,0,feature_asof_date,label_window_end_date,event_effective_date,signal_date,0,0,0,0,0,False,True,True
v2_hygiene_train_eval_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_v2_hygiene_train_eval_panel.parquet,电子,industry_launch_winner_score_lgbm,fold_2023,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,1913,27,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id,complete,,0,0,0,feature_asof_date,label_window_end_date,event_effective_date,signal_date,0,0,0,0,0,False,True,True
v2_feature_availability_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_v2_feature_availability_panel.parquet,电子,industry_failure_reject_score_lgbm,fold_2021,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,3636,28,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id,complete,,0,0,0,signal_date,,event_effective_date,signal_date,0,0,0,0,0,False,True,True
v2_feature_availability_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_v2_feature_availability_panel.parquet,电子,industry_failure_reject_score_lgbm,fold_2022,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,4861,28,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id,complete,,0,0,0,signal_date,,event_effective_date,signal_date,0,0,0,0,0,False,True,True
v2_feature_availability_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_v2_feature_availability_panel.parquet,电子,industry_failure_reject_score_lgbm,fold_2023,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,6107,30,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id,complete,,0,0,0,signal_date,,event_effective_date,signal_date,0,0,0,0,0,False,True,True
v2_feature_availability_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_v2_feature_availability_panel.parquet,电子,industry_launch_winner_score_lgbm,fold_2021,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,1104,26,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id,complete,,0,0,0,signal_date,,event_effective_date,signal_date,0,0,0,0,0,False,True,True
v2_feature_availability_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_v2_feature_availability_panel.parquet,电子,industry_launch_winner_score_lgbm,fold_2022,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,1472,25,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id,complete,,0,0,0,signal_date,,event_effective_date,signal_date,0,0,0,0,0,False,True,True
v2_feature_availability_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_v2_feature_availability_panel.parquet,电子,industry_launch_winner_score_lgbm,fold_2023,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,1913,27,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id,complete,,0,0,0,signal_date,,event_effective_date,signal_date,0,0,0,0,0,False,True,True
fixed_probe_prediction_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_fixed_probe_prediction_panel.parquet,电子,failure_reject,fold_2021,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,2400,22,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id;feature_bank_version;probe_contract_id,complete,,0,0,0,signal_date,,event_effective_date,signal_date,0,0,0,0,0,False,True,True
fixed_probe_prediction_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_fixed_probe_prediction_panel.parquet,电子,failure_reject,fold_2022,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,2078,15,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id;feature_bank_version;probe_contract_id,complete,,0,0,0,signal_date,,event_effective_date,signal_date,0,0,0,0,0,False,True,True
fixed_probe_prediction_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_fixed_probe_prediction_panel.parquet,电子,failure_reject,fold_2023,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,2086,13,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id;feature_bank_version;probe_contract_id,complete,,0,0,0,signal_date,,event_effective_date,signal_date,0,0,0,0,0,False,True,True
fixed_probe_prediction_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_fixed_probe_prediction_panel.parquet,电子,launch_winner,fold_2021,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,824,22,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id;feature_bank_version;probe_contract_id,complete,,0,0,0,signal_date,,event_effective_date,signal_date,0,0,0,0,0,False,True,True
fixed_probe_prediction_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_fixed_probe_prediction_panel.parquet,电子,launch_winner,fold_2022,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,712,15,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id;feature_bank_version;probe_contract_id,complete,,0,0,0,signal_date,,event_effective_date,signal_date,0,0,0,0,0,False,True,True
fixed_probe_prediction_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_fixed_probe_prediction_panel.parquet,电子,launch_winner,fold_2023,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,744,13,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id;feature_bank_version;probe_contract_id,complete,,0,0,0,signal_date,,event_effective_date,signal_date,0,0,0,0,0,False,True,True
path_support_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_path_support_panel.parquet,电子,failure_reject,pooled,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,721,0,,schema_key_missing,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id,6,0,0,signal_date,,,,0,0,0,0,0,False,True,True
path_support_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_path_support_panel.parquet,电子,launch_winner,pooled,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,1258,0,,schema_key_missing,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id,5,0,0,signal_date,,,,0,0,0,0,0,False,True,True
primitive_seed_oof_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_primitive_seed_oof_panel.parquet,电子,industry_failure_reject_score_lgbm,fold_2021,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,37121,22,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id;primitive_seed_id,complete,,0,0,0,feature_asof_date,label_window_end_date,event_effective_date,signal_date,0,0,0,0,0,False,True,True
primitive_seed_oof_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_primitive_seed_oof_panel.parquet,电子,industry_failure_reject_score_lgbm,fold_2022,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,35005,15,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id;primitive_seed_id,complete,,0,0,0,feature_asof_date,label_window_end_date,event_effective_date,signal_date,0,0,0,0,0,False,True,True
primitive_seed_oof_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_primitive_seed_oof_panel.parquet,电子,industry_failure_reject_score_lgbm,fold_2023,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,46958,13,instrument;fold_id;failure_signal_date;failure_decision_effective_date;launch_stratum_event_id;atomic_failure_event_id;primitive_seed_id,complete,,0,0,0,feature_asof_date,label_window_end_date,event_effective_date,signal_date,0,0,0,0,0,False,True,True
primitive_seed_oof_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_primitive_seed_oof_panel.parquet,电子,industry_launch_winner_score_lgbm,fold_2021,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,2991,22,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id;primitive_seed_id,complete,,0,0,0,feature_asof_date,label_window_end_date,event_effective_date,signal_date,0,0,0,0,0,False,True,True
primitive_seed_oof_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_primitive_seed_oof_panel.parquet,电子,industry_launch_winner_score_lgbm,fold_2022,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,2390,15,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id;primitive_seed_id,complete,,0,0,0,feature_asof_date,label_window_end_date,event_effective_date,signal_date,0,0,0,0,0,False,True,True
primitive_seed_oof_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_primitive_seed_oof_panel.parquet,电子,industry_launch_winner_score_lgbm,fold_2023,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,2313,13,instrument;fold_id;signal_date;event_effective_date;launch_stratum_event_id;primitive_seed_id,complete,,0,0,0,feature_asof_date,label_window_end_date,event_effective_date,signal_date,0,0,0,0,0,False,True,True
null_placebo_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_null_placebo_panel.parquet,电子,all,fold_2021,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,48000,0,selection_family_id;primitive_seed_id;null_family;null_iteration_id;fold_id,complete,,0,0,0,signal_date,,,,0,0,0,0,0,False,True,True
null_placebo_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_null_placebo_panel.parquet,电子,all,fold_2022,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,48000,0,selection_family_id;primitive_seed_id;null_family;null_iteration_id;fold_id,complete,,0,0,0,signal_date,,,,0,0,0,0,0,False,True,True
null_placebo_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_null_placebo_panel.parquet,电子,all,fold_2023,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,48000,0,selection_family_id;primitive_seed_id;null_family;null_iteration_id;fold_id,complete,,0,0,0,signal_date,,,,0,0,0,0,0,False,True,True
