arm_id,split,candidate_scope_id,family_id,transition_role,pre_replay_any_recall,pre_replay_bridge_recall,fast_fail_10d_rate,false_repair_20d_rate,target_regime_decision_tier,t4_t7_negative_control_status
baseline_r6_only_transition_primary,train,07_E1_only,E1_early_ema60_repair,transition_context_only,0.6217105263157895,0.3201320132013201,0.1715285880980163,0.2100350058343057,diagnostic_only_or_no_candidate,
baseline_r6_only_transition_primary,train,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.2302631578947368,0.0855263157894736,0.2874493927125506,0.3052208835341365,diagnostic_only_or_no_candidate,negative_control
baseline_r6_only_transition_primary,validation,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_support_feature,0.9506172839506172,0.3703703703703703,0.2017114914425428,0.2878664495114006,diagnostic_only_or_no_candidate,
baseline_r6_only_transition_primary,validation,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.925925925925926,0.2839506172839506,0.206963249516441,0.305944900918318,diagnostic_only_or_no_candidate,
baseline_r6_only_transition_primary,validation,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.8888888888888888,0.2962962962962963,0.1986486486486486,0.2835921674544227,diagnostic_only_or_no_candidate,
baseline_r6_only_transition_primary,validation,07_E1_only,E1_early_ema60_repair,transition_context_only,0.7037037037037037,0.3086419753086419,0.1402777777777777,0.2138888888888888,diagnostic_only_or_no_candidate,
baseline_r6_only_transition_primary,validation,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.6296296296296297,0.1358024691358024,0.2189859762675296,0.2952586206896552,diagnostic_only_or_no_candidate,
baseline_r6_only_transition_primary,validation,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.0864197530864197,0.037037037037037,0.2547770700636942,0.2993630573248407,diagnostic_only_or_no_candidate,negative_control
baseline_r6_only_risk_on_positive,robustness,07_E1_only,E1_early_ema60_repair,transition_context_only,0.4,0.24,0.0763358778625954,0.1348600508905852,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,robustness,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_primary_candidate,0.43,0.27,0.1441509433962264,0.2088989441930618,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,robustness,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.45,0.21,0.1163895486935867,0.171021377672209,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,robustness,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.42,0.2222222222222222,0.1634615384615384,0.2562380038387716,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,robustness,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.4,0.2222222222222222,0.1343638525564803,0.2042755344418052,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,robustness,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.12,0.02,0.1666666666666666,0.2459016393442623,diagnostic_only_or_no_candidate,negative_control
baseline_r6_only_risk_on_positive,train,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_primary_candidate,0.9605263157894736,0.4934210526315789,0.2086103197214308,0.2555344718532574,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,train,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.9703947368421052,0.4671052631578947,0.2520710059171597,0.2925196850393701,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,train,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.9375,0.4605263157894737,0.2217529039070749,0.2617414248021108,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,train,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.8585526315789473,0.3366336633663366,0.2540834845735027,0.2841628959276018,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,train,07_E1_only,E1_early_ema60_repair,transition_context_only,0.6217105263157895,0.3201320132013201,0.1715285880980163,0.2100350058343057,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,train,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.2302631578947368,0.0855263157894736,0.2874493927125506,0.3052208835341365,diagnostic_only_or_no_candidate,negative_control
baseline_r6_only_risk_on_positive,validation,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_support_feature,0.9506172839506172,0.3703703703703703,0.2017114914425428,0.2878664495114006,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,validation,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.925925925925926,0.2839506172839506,0.206963249516441,0.305944900918318,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,validation,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.8888888888888888,0.2962962962962963,0.1986486486486486,0.2835921674544227,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,validation,07_E1_only,E1_early_ema60_repair,transition_context_only,0.7037037037037037,0.3086419753086419,0.1402777777777777,0.2138888888888888,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,validation,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.6296296296296297,0.1358024691358024,0.2189859762675296,0.2952586206896552,diagnostic_only_or_no_candidate,
baseline_r6_only_risk_on_positive,validation,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.0864197530864197,0.037037037037037,0.2547770700636942,0.2993630573248407,diagnostic_only_or_no_candidate,negative_control
baseline_t4_t7_negative_control,robustness,07_E1_only,E1_early_ema60_repair,transition_context_only,0.4,0.24,0.0763358778625954,0.1348600508905852,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,robustness,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_primary_candidate,0.43,0.27,0.1441509433962264,0.2088989441930618,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,robustness,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.45,0.21,0.1163895486935867,0.171021377672209,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,robustness,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.42,0.2222222222222222,0.1634615384615384,0.2562380038387716,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,robustness,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.4,0.2222222222222222,0.1343638525564803,0.2042755344418052,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,robustness,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.12,0.02,0.1666666666666666,0.2459016393442623,diagnostic_only_or_no_candidate,negative_control
baseline_t4_t7_negative_control,train,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_primary_candidate,0.9605263157894736,0.4934210526315789,0.2086103197214308,0.2555344718532574,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,train,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.9703947368421052,0.4671052631578947,0.2520710059171597,0.2925196850393701,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,train,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.9375,0.4605263157894737,0.2217529039070749,0.2617414248021108,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,train,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.8585526315789473,0.3366336633663366,0.2540834845735027,0.2841628959276018,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,train,07_E1_only,E1_early_ema60_repair,transition_context_only,0.6217105263157895,0.3201320132013201,0.1715285880980163,0.2100350058343057,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,train,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.2302631578947368,0.0855263157894736,0.2874493927125506,0.3052208835341365,diagnostic_only_or_no_candidate,negative_control
baseline_t4_t7_negative_control,validation,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_support_feature,0.9506172839506172,0.3703703703703703,0.2017114914425428,0.2878664495114006,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,validation,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.925925925925926,0.2839506172839506,0.206963249516441,0.305944900918318,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,validation,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.8888888888888888,0.2962962962962963,0.1986486486486486,0.2835921674544227,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,validation,07_E1_only,E1_early_ema60_repair,transition_context_only,0.7037037037037037,0.3086419753086419,0.1402777777777777,0.2138888888888888,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,validation,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.6296296296296297,0.1358024691358024,0.2189859762675296,0.2952586206896552,diagnostic_only_or_no_candidate,
baseline_t4_t7_negative_control,validation,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.0864197530864197,0.037037037037037,0.2547770700636942,0.2993630573248407,diagnostic_only_or_no_candidate,negative_control
r6_r1_r7_bridge_pool,robustness,07_E1_only,E1_early_ema60_repair,transition_context_only,0.4,0.24,0.0763358778625954,0.1348600508905852,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,robustness,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_primary_candidate,0.43,0.27,0.1441509433962264,0.2088989441930618,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,robustness,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.45,0.21,0.1163895486935867,0.171021377672209,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,robustness,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.42,0.2222222222222222,0.1634615384615384,0.2562380038387716,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,robustness,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.4,0.2222222222222222,0.1343638525564803,0.2042755344418052,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,robustness,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.12,0.02,0.1666666666666666,0.2459016393442623,diagnostic_only_or_no_candidate,negative_control
r6_r1_r7_bridge_pool,train,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_primary_candidate,0.9605263157894736,0.4934210526315789,0.2086103197214308,0.2555344718532574,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,train,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.9703947368421052,0.4671052631578947,0.2520710059171597,0.2925196850393701,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,train,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.9375,0.4605263157894737,0.2217529039070749,0.2617414248021108,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,train,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.8585526315789473,0.3366336633663366,0.2540834845735027,0.2841628959276018,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,train,07_E1_only,E1_early_ema60_repair,transition_context_only,0.6217105263157895,0.3201320132013201,0.1715285880980163,0.2100350058343057,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,train,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.2302631578947368,0.0855263157894736,0.2874493927125506,0.3052208835341365,diagnostic_only_or_no_candidate,negative_control
r6_r1_r7_bridge_pool,validation,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_support_feature,0.9506172839506172,0.3703703703703703,0.2017114914425428,0.2878664495114006,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,validation,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.925925925925926,0.2839506172839506,0.206963249516441,0.305944900918318,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,validation,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.8888888888888888,0.2962962962962963,0.1986486486486486,0.2835921674544227,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,validation,07_E1_only,E1_early_ema60_repair,transition_context_only,0.7037037037037037,0.3086419753086419,0.1402777777777777,0.2138888888888888,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,validation,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.6296296296296297,0.1358024691358024,0.2189859762675296,0.2952586206896552,diagnostic_only_or_no_candidate,
r6_r1_r7_bridge_pool,validation,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.0864197530864197,0.037037037037037,0.2547770700636942,0.2993630573248407,diagnostic_only_or_no_candidate,negative_control
r6_r2_low_fast_fail_support,robustness,07_E1_only,E1_early_ema60_repair,transition_context_only,0.4,0.24,0.0763358778625954,0.1348600508905852,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,robustness,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_primary_candidate,0.43,0.27,0.1441509433962264,0.2088989441930618,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,robustness,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.45,0.21,0.1163895486935867,0.171021377672209,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,robustness,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.42,0.2222222222222222,0.1634615384615384,0.2562380038387716,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,robustness,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.4,0.2222222222222222,0.1343638525564803,0.2042755344418052,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,robustness,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.12,0.02,0.1666666666666666,0.2459016393442623,diagnostic_only_or_no_candidate,negative_control
r6_r2_low_fast_fail_support,train,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_primary_candidate,0.9605263157894736,0.4934210526315789,0.2086103197214308,0.2555344718532574,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,train,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.9703947368421052,0.4671052631578947,0.2520710059171597,0.2925196850393701,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,train,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.9375,0.4605263157894737,0.2217529039070749,0.2617414248021108,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,train,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.8585526315789473,0.3366336633663366,0.2540834845735027,0.2841628959276018,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,train,07_E1_only,E1_early_ema60_repair,transition_context_only,0.6217105263157895,0.3201320132013201,0.1715285880980163,0.2100350058343057,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,train,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.2302631578947368,0.0855263157894736,0.2874493927125506,0.3052208835341365,diagnostic_only_or_no_candidate,negative_control
r6_r2_low_fast_fail_support,validation,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_support_feature,0.9506172839506172,0.3703703703703703,0.2017114914425428,0.2878664495114006,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,validation,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.925925925925926,0.2839506172839506,0.206963249516441,0.305944900918318,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,validation,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.8888888888888888,0.2962962962962963,0.1986486486486486,0.2835921674544227,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,validation,07_E1_only,E1_early_ema60_repair,transition_context_only,0.7037037037037037,0.3086419753086419,0.1402777777777777,0.2138888888888888,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,validation,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.6296296296296297,0.1358024691358024,0.2189859762675296,0.2952586206896552,diagnostic_only_or_no_candidate,
r6_r2_low_fast_fail_support,validation,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.0864197530864197,0.037037037037037,0.2547770700636942,0.2993630573248407,diagnostic_only_or_no_candidate,negative_control
r6_r1_r2_r7_bridge_pool,robustness,07_E1_only,E1_early_ema60_repair,transition_context_only,0.4,0.24,0.0763358778625954,0.1348600508905852,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,robustness,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_primary_candidate,0.43,0.27,0.1441509433962264,0.2088989441930618,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,robustness,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.45,0.21,0.1163895486935867,0.171021377672209,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,robustness,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.42,0.2222222222222222,0.1634615384615384,0.2562380038387716,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,robustness,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.4,0.2222222222222222,0.1343638525564803,0.2042755344418052,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,robustness,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.12,0.02,0.1666666666666666,0.2459016393442623,diagnostic_only_or_no_candidate,negative_control
r6_r1_r2_r7_bridge_pool,train,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_primary_candidate,0.9605263157894736,0.4934210526315789,0.2086103197214308,0.2555344718532574,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,train,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.9703947368421052,0.4671052631578947,0.2520710059171597,0.2925196850393701,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,train,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.9375,0.4605263157894737,0.2217529039070749,0.2617414248021108,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,train,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.8585526315789473,0.3366336633663366,0.2540834845735027,0.2841628959276018,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,train,07_E1_only,E1_early_ema60_repair,transition_context_only,0.6217105263157895,0.3201320132013201,0.1715285880980163,0.2100350058343057,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,train,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.2302631578947368,0.0855263157894736,0.2874493927125506,0.3052208835341365,diagnostic_only_or_no_candidate,negative_control
r6_r1_r2_r7_bridge_pool,validation,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_support_feature,0.9506172839506172,0.3703703703703703,0.2017114914425428,0.2878664495114006,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,validation,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.925925925925926,0.2839506172839506,0.206963249516441,0.305944900918318,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,validation,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.8888888888888888,0.2962962962962963,0.1986486486486486,0.2835921674544227,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,validation,07_E1_only,E1_early_ema60_repair,transition_context_only,0.7037037037037037,0.3086419753086419,0.1402777777777777,0.2138888888888888,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,validation,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.6296296296296297,0.1358024691358024,0.2189859762675296,0.2952586206896552,diagnostic_only_or_no_candidate,
r6_r1_r2_r7_bridge_pool,validation,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.0864197530864197,0.037037037037037,0.2547770700636942,0.2993630573248407,diagnostic_only_or_no_candidate,negative_control
family_budget_equal_weight,robustness,07_E1_only,E1_early_ema60_repair,transition_context_only,0.4,0.24,0.0763358778625954,0.1348600508905852,diagnostic_only_or_no_candidate,
family_budget_equal_weight,robustness,08_R6_event_regime_gated,R6_market_breadth_thrust,transition_primary_candidate,0.43,0.27,0.1441509433962264,0.2088989441930618,diagnostic_only_or_no_candidate,
family_budget_equal_weight,robustness,08_R2_event_regime_gated,R2_near_high_volume_expansion,transition_support_feature,0.45,0.21,0.1163895486935867,0.171021377672209,diagnostic_only_or_no_candidate,
family_budget_equal_weight,robustness,08_R1_event_regime_gated,R1_relative_strength_breakout,transition_support_feature,0.42,0.2222222222222222,0.1634615384615384,0.2562380038387716,diagnostic_only_or_no_candidate,
family_budget_equal_weight,robustness,08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,transition_support_feature,0.4,0.2222222222222222,0.1343638525564803,0.2042755344418052,diagnostic_only_or_no_candidate,
family_budget_equal_weight,robustness,08_selected_T4_T7_union,selected_T4_T7_union,transition_quality_filter_candidate,0.12,0.02,0.1666666666666666,0.2459016393442623,diagnostic_only_or_no_candidate,negative_control
