datetime,instruments,ema_state,market_ok_entry,width_ok_entry,industry_ok_entry,trend_score_top20_entry,breakout_entry,pullback_entry,combined_entry,trend_score_median
2017-01-03,224,0,0,0,0,0,0,0,0,
2017-01-04,225,0,0,0,0,0,0,0,0,
2017-01-05,226,0,0,0,0,0,0,0,0,
2017-01-06,227,0,0,0,0,0,0,0,0,
2017-01-09,228,0,0,0,0,0,0,0,0,
2017-01-10,228,0,0,0,0,0,0,0,0,
2017-01-11,228,0,0,0,0,0,0,0,0,
2017-01-12,228,0,0,0,0,0,0,0,0,
2017-01-13,228,0,0,0,0,0,0,0,0,
2017-01-16,228,0,0,0,0,0,0,0,0,
2017-01-17,228,73,0,0,0,0,0,0,0,
2017-01-18,228,75,0,0,0,0,0,0,0,
2017-01-19,228,73,0,0,0,0,0,0,0,
2017-01-20,228,86,0,0,0,0,0,0,0,
2017-01-23,229,90,0,0,0,0,0,0,0,
2017-01-24,229,86,0,0,0,0,0,0,0,
2017-01-25,229,86,0,0,0,0,0,0,0,
2017-01-26,230,87,0,0,0,0,0,0,0,
2017-02-03,230,93,0,0,0,0,0,0,0,
2017-02-06,230,100,0,0,0,0,0,0,0,
2017-02-07,230,100,100,100,0,0,0,0,0,
2017-02-08,230,103,103,103,0,0,0,0,0,
2017-02-09,230,105,105,105,0,0,0,0,0,
2017-02-10,230,102,102,102,0,0,0,0,0,
2017-02-13,230,105,105,105,0,0,0,0,0,
2017-02-14,230,102,102,102,0,0,0,0,0,
2017-02-15,230,103,103,103,0,0,0,0,0,
2017-02-16,230,97,97,97,0,0,0,0,0,
2017-02-17,230,116,116,116,0,0,0,0,0,
2017-02-20,230,88,88,88,0,0,0,0,0,
2017-02-21,230,96,96,96,0,0,0,0,0,
2017-02-22,230,94,94,94,0,0,0,0,0,
2017-02-23,230,107,107,107,0,0,0,0,0,
2017-02-24,230,117,117,117,0,0,0,0,0,
2017-02-27,230,116,116,116,0,0,0,0,0,
2017-02-28,230,119,119,119,0,0,0,0,0,
2017-03-01,230,121,121,121,0,0,0,0,0,
2017-03-02,230,112,112,112,0,0,0,0,0,
2017-03-03,230,101,101,101,0,0,0,0,0,
2017-03-06,230,103,103,103,0,0,0,0,0,
2017-03-07,230,99,99,99,0,0,0,0,0,
2017-03-08,230,105,105,105,0,0,0,0,0,
2017-03-09,230,92,92,92,0,0,0,0,0,
2017-03-10,230,86,86,86,0,0,0,0,0,
2017-03-13,231,88,88,88,0,0,0,0,0,
2017-03-14,232,92,92,92,0,0,0,0,0,
2017-03-15,232,88,88,88,0,0,0,0,0,
2017-03-16,232,101,101,101,0,0,0,0,0,
2017-03-17,232,91,91,91,0,0,0,0,0,
2017-03-20,232,86,86,86,0,0,0,0,0,
2017-03-21,232,75,75,75,0,0,0,0,0,
2017-03-22,232,64,64,64,0,0,0,0,0,
2017-03-23,232,71,71,71,0,0,0,0,0,
2017-03-24,232,71,71,71,0,0,0,0,0,
2017-03-27,232,88,88,88,0,0,0,0,0,
2017-03-28,233,87,87,87,0,0,0,0,0,
2017-03-29,233,75,75,75,0,0,0,0,0,
2017-03-30,233,73,73,0,0,0,0,0,0,
2017-03-31,233,82,82,0,0,0,0,0,0,
2017-04-05,233,82,82,82,0,0,0,0,0,
2017-04-06,233,80,80,80,44,8,1,1,2,0.25630005128857775
2017-04-07,233,80,80,80,43,8,0,0,0,0.20597974466610947
2017-04-10,233,83,83,83,47,9,1,0,1,0.21083513156196976
2017-04-11,233,78,78,78,47,9,1,0,1,0.36381159519352185
2017-04-12,234,82,82,82,38,7,0,2,2,0.28587051058601975
2017-04-13,234,88,88,88,49,9,1,3,4,0.30490813954906165
2017-04-14,234,84,84,0,0,0,0,0,0,
2017-04-17,234,87,87,0,0,0,0,0,0,
2017-04-18,234,75,75,0,0,0,0,0,0,
2017-04-19,234,71,71,0,0,0,0,0,0,
2017-04-20,234,58,58,0,0,0,0,0,0,
2017-04-21,234,63,63,0,0,0,0,0,0,
2017-04-24,234,61,0,0,0,0,0,0,0,
2017-04-25,234,60,0,0,0,0,0,0,0,
2017-04-26,234,55,0,0,0,0,0,0,0,
2017-04-27,234,58,58,0,0,0,0,0,0,
2017-04-28,234,61,0,0,0,0,0,0,0,
2017-05-02,234,54,0,0,0,0,0,0,0,
2017-05-03,234,54,0,0,0,0,0,0,0,
2017-05-04,235,50,0,0,0,0,0,0,0,
2017-05-05,235,51,0,0,0,0,0,0,0,
2017-05-08,236,50,0,0,0,0,0,0,0,
2017-05-09,236,50,0,0,0,0,0,0,0,
2017-05-10,236,48,0,0,0,0,0,0,0,
2017-05-11,236,50,0,0,0,0,0,0,0,
2017-05-12,236,46,0,0,0,0,0,0,0,
2017-05-15,236,45,0,0,0,0,0,0,0,
2017-05-16,236,42,0,0,0,0,0,0,0,
2017-05-17,236,53,0,0,0,0,0,0,0,
2017-05-18,236,52,0,0,0,0,0,0,0,
2017-05-19,236,50,0,0,0,0,0,0,0,
2017-05-22,236,48,0,0,0,0,0,0,0,
2017-05-23,236,40,0,0,0,0,0,0,0,
2017-05-24,236,48,0,0,0,0,0,0,0,
2017-05-25,236,44,0,0,0,0,0,0,0,
2017-05-26,236,47,0,0,0,0,0,0,0,
2017-05-31,236,49,0,0,0,0,0,0,0,
2017-06-01,236,44,0,0,0,0,0,0,0,
2017-06-02,236,58,0,0,0,0,0,0,0,
2017-06-05,236,67,0,0,0,0,0,0,0,
2017-06-06,236,67,0,0,0,0,0,0,0,
2017-06-07,236,60,60,0,0,0,0,0,0,
2017-06-08,237,54,54,0,0,0,0,0,0,
2017-06-09,237,51,51,0,0,0,0,0,0,
2017-06-12,237,47,47,0,0,0,0,0,0,
2017-06-13,237,54,54,0,0,0,0,0,0,
2017-06-14,237,73,73,0,0,0,0,0,0,
2017-06-15,237,77,77,0,0,0,0,0,0,
2017-06-16,237,72,72,0,0,0,0,0,0,
2017-06-19,237,75,75,0,0,0,0,0,0,
2017-06-20,237,77,77,0,0,0,0,0,0,
2017-06-21,237,77,77,77,9,1,0,0,0,0.5105085524013155
2017-06-22,237,82,82,82,11,2,0,0,0,0.4836184818600901
2017-06-23,237,75,75,75,19,3,0,0,0,0.4265183633658012
2017-06-26,237,65,65,65,15,3,1,0,1,0.35722348501194173
2017-06-27,237,64,64,64,16,3,0,0,0,0.19101085819140187
2017-06-28,237,73,73,73,20,4,0,0,0,0.4091585337890274
2017-06-29,237,68,68,68,19,3,0,1,1,0.26948929433070096
2017-06-30,237,76,76,76,21,4,0,0,0,0.43229057071462357
2017-07-03,237,86,86,86,23,4,0,0,0,0.5289950358265416
2017-07-04,237,90,90,90,22,4,0,0,0,0.535387729746305
2017-07-05,237,89,89,89,21,4,2,1,3,0.46177951579804777
2017-07-06,237,88,88,88,20,4,1,0,1,0.37188716379692255
2017-07-07,237,84,84,84,20,4,0,0,0,0.37050096711046143
2017-07-10,237,78,78,78,19,3,0,1,1,0.26117701996101267
2017-07-11,237,90,90,90,29,5,0,0,0,0.32935686652767865
2017-07-12,237,89,89,89,29,5,1,1,2,0.34423732029787396
2017-07-13,237,77,77,77,13,2,0,0,0,0.407867017276235
2017-07-14,237,81,81,81,13,2,0,0,0,0.20753910679459642
2017-07-17,237,71,71,0,0,0,0,0,0,
2017-07-18,237,69,69,69,14,2,0,0,0,0.2747238399585634
2017-07-19,237,64,64,64,9,1,0,1,1,0.4007897425208228
2017-07-20,237,71,71,71,19,3,0,0,0,0.21368741236584435
2017-07-21,237,93,93,93,34,6,1,0,1,0.23353684516947634
2017-07-24,237,95,95,95,36,7,0,1,1,0.18300219143382257
2017-07-25,237,102,102,102,38,7,0,1,1,0.3747690475097124
2017-07-26,237,101,101,101,41,8,0,0,0,0.4144646898629929
2017-07-27,237,102,102,102,37,7,0,2,2,0.30056973964521116
2017-07-28,237,102,102,102,44,8,1,3,4,0.33074601949541244
2017-07-31,237,94,94,94,37,7,1,1,2,0.32433082971269117
2017-08-01,237,106,106,106,38,7,1,1,2,0.30343231708597607
2017-08-02,237,100,100,100,42,8,0,0,0,0.30276788189173076
2017-08-03,237,90,90,90,42,8,0,1,1,0.22757260239253047
2017-08-04,237,98,98,98,44,8,0,1,1,0.2507380056163074
2017-08-07,237,96,96,96,46,9,0,3,3,0.2055148572205442
2017-08-08,237,98,98,98,46,9,0,1,1,0.11295928930014677
2017-08-09,237,96,96,96,28,5,0,1,1,0.12745033767734376
2017-08-10,237,103,103,103,45,9,0,0,0,0.2344484513039746
2017-08-11,237,82,82,0,0,0,0,0,0,
2017-08-14,237,89,89,89,36,7,0,0,0,0.14253862298724762
2017-08-15,237,84,84,84,36,7,0,2,2,0.21912998968332023
2017-08-16,237,83,83,83,37,7,0,2,2,0.11073124582681236
2017-08-17,237,95,95,95,38,7,0,1,1,0.0007101245976583416
2017-08-18,237,94,94,94,33,6,0,2,2,0.10799988441779615
2017-08-21,237,105,105,105,49,9,0,1,1,0.026559541436264118
2017-08-22,237,100,100,100,41,8,0,1,1,0.02879794150613192
2017-08-23,237,99,99,99,46,9,0,2,2,0.037448867220062784
2017-08-24,237,84,84,84,44,8,0,2,2,0.027207871252888302
2017-08-25,237,96,96,96,50,10,1,6,7,0.007523637508262512
2017-08-28,237,95,95,95,30,6,0,1,1,-0.0192636396781542
