population_id,rule_arm_id,input_denominator_id,denominator_id,split,readout_only_flag,threshold_id,capacity_id,post_dedup_sample_n,post_dedup_false_repair_positive_n,post_dedup_winner_n,post_dedup_E1_missed_winner_n,e1_missed_proxy_status,post_dedup_e1_status_episode_level_proxy_from_08_membership_n,post_dedup_e1_status_no_episode_membership_for_event_n,post_dedup_e1_status_episode_membership_proxy_input_blocked_n,random_rejected_false_repair_positive_n,random_rejected_false_repair_winner_n,random_rejected_E1_missed_winner_n,random_rejected_false_repair_non_winner_n,false_repair_power_status,winner_retention_power_status,false_repair_ml_supported_gate_allowed
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_9000,keep_9000,16557,6338,2964,1592,mixed_non_blocking,6697,9860,0,643,63,162,580,pass,pass,True
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_8000,keep_8000,4449,1299,297,120,mixed_non_blocking,1286,3163,0,256,3,23,253,pass,pass,True
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_8250,keep_8250,4449,1299,297,120,mixed_non_blocking,1286,3163,0,224,6,18,218,pass,pass,True
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_8500,keep_8500,4449,1299,297,120,mixed_non_blocking,1286,3163,0,210,9,17,201,pass,pass,True
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_8750,keep_8750,4449,1299,297,120,mixed_non_blocking,1286,3163,0,150,4,15,146,pass,pass,True
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_9000,keep_9000,4449,1299,297,120,mixed_non_blocking,1286,3163,0,119,7,14,112,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_8000,keep_8000,2996,852,622,306,mixed_non_blocking,1096,1900,0,182,21,62,161,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_8250,keep_8250,2996,852,622,306,mixed_non_blocking,1096,1900,0,161,21,59,140,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_8500,keep_8500,2996,852,622,306,mixed_non_blocking,1096,1900,0,118,22,47,96,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_8750,keep_8750,2996,852,622,306,mixed_non_blocking,1096,1900,0,93,12,37,81,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_9000,keep_9000,2996,852,622,306,mixed_non_blocking,1096,1900,0,74,9,29,65,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_8000,keep_8000,4794,1874,878,497,mixed_non_blocking,1854,2940,0,360,26,112,334,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_8250,keep_8250,4794,1874,878,497,mixed_non_blocking,1854,2940,0,334,32,90,302,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_8500,keep_8500,4794,1874,878,497,mixed_non_blocking,1854,2940,0,279,23,76,256,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_8750,keep_8750,4794,1874,878,497,mixed_non_blocking,1854,2940,0,253,22,60,231,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_9000,keep_9000,4794,1874,878,497,mixed_non_blocking,1854,2940,0,190,21,58,169,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,validation,True,keep_8000,keep_8000,1440,387,107,41,mixed_non_blocking,392,1048,0,79,3,8,76,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,validation,True,keep_8250,keep_8250,1440,387,107,41,mixed_non_blocking,392,1048,0,65,3,6,62,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,validation,True,keep_8500,keep_8500,1440,387,107,41,mixed_non_blocking,392,1048,0,58,0,6,58,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,validation,True,keep_8750,keep_8750,1440,387,107,41,mixed_non_blocking,392,1048,0,46,2,7,44,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,validation,True,keep_9000,keep_9000,1440,387,107,41,mixed_non_blocking,392,1048,0,31,0,2,31,pass,pass,False
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,keep_8000,keep_8000,4970,1299,995,482,mixed_non_blocking,1753,3217,0,255,38,97,217,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,keep_8250,keep_8250,4970,1299,995,482,mixed_non_blocking,1753,3217,0,238,30,89,208,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,keep_8500,keep_8500,4970,1299,995,482,mixed_non_blocking,1753,3217,0,199,32,81,167,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,keep_8750,keep_8750,4970,1299,995,482,mixed_non_blocking,1753,3217,0,169,21,64,148,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,keep_9000,keep_9000,4970,1299,995,482,mixed_non_blocking,1753,3217,0,138,15,40,123,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_8000,keep_8000,8318,3025,1491,811,mixed_non_blocking,3052,5266,0,647,49,144,598,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_8250,keep_8250,8318,3025,1491,811,mixed_non_blocking,3052,5266,0,522,47,141,475,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_8500,keep_8500,8318,3025,1491,811,mixed_non_blocking,3052,5266,0,467,52,116,415,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_8750,keep_8750,8318,3025,1491,811,mixed_non_blocking,3052,5266,0,387,44,101,343,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_9000,keep_9000,8318,3025,1491,811,mixed_non_blocking,3052,5266,0,313,35,73,278,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_8000,keep_8000,2514,709,161,64,mixed_non_blocking,660,1854,0,142,1,12,141,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_8250,keep_8250,2514,709,161,64,mixed_non_blocking,660,1854,0,119,4,11,115,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_8500,keep_8500,2514,709,161,64,mixed_non_blocking,660,1854,0,115,7,9,108,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_8750,keep_8750,2514,709,161,64,mixed_non_blocking,660,1854,0,80,1,8,79,pass,pass,True
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_9000,keep_9000,2514,709,161,64,mixed_non_blocking,660,1854,0,65,5,9,60,pass,pass,True
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_8000,keep_8000,2996,852,622,306,mixed_non_blocking,1096,1900,0,182,21,62,161,pass,pass,False
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_8250,keep_8250,2996,852,622,306,mixed_non_blocking,1096,1900,0,161,21,59,140,pass,pass,False
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_8500,keep_8500,2996,852,622,306,mixed_non_blocking,1096,1900,0,118,22,47,96,pass,pass,False
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_8750,keep_8750,2996,852,622,306,mixed_non_blocking,1096,1900,0,93,12,37,81,pass,pass,False
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_9000,keep_9000,2996,852,622,306,mixed_non_blocking,1096,1900,0,74,9,29,65,pass,pass,False
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_8000,keep_8000,4794,1874,878,497,mixed_non_blocking,1854,2940,0,360,26,112,334,pass,pass,False
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_8250,keep_8250,4794,1874,878,497,mixed_non_blocking,1854,2940,0,334,32,90,302,pass,pass,False
